ts_code,end_date,total_liab,money_cap,total_assets
000430.SZ,20031231,173170496.61,61786582.11,420197142.51
600340.SH,20031231,98360919.08,302286507.64,497758568.23
000504.SZ,20031231,172250953.84,68243955.42,595751055.51
000605.SZ,20031231,227798228.58,152148250.52,367079482.23
000717.SZ,20031231,3729599155.48,735204979.84,8048516787.37
600792.SH,20031231,194503687.9,42450010.7,359216884.52
600293.SH,20031231,566062049.77,195436395.08,1296874954.47
600356.SH,20031231,349283928.22,46571715.56,947092663.65
600371.SH,20031231,352828109.32,144106886.77,664822616.5
600250.SH,20031231,3461625620.4,1337071065.01,4253079690.96
600201.SH,20031231,384486420.82,174012737.86,958427832.05
000731.SZ,20031231,389634640.69,176102101.52,1292350024.66
000852.SZ,20031231,282067655.11,88430405.86,1010448154.53
000902.SZ,20031231,598900376.86,99966165.26,964412411.2
000895.SZ,20031231,918987042.0,490739645.26,3105309075.24
000917.SZ,20031231,2414843931.47,787077999.46,4984539542.62
600170.SH,20031231,5926373066.0,2345653748.0,9340600441.0
600166.SH,20031231,2598807822.1,209523727.2,4165423817.92
600626.SH,20031231,1443781959.06,690755225.29,3033996639.68
600616.SH,20031231,1299338918.36,118540325.91,1884731673.61
600618.SH,20031231,1987952994.21,777693691.06,4920412213.54
600210.SH,20031231,2421028980.66,791162346.38,5475042955.62
600241.SH,20031231,255785361.98,224021392.73,688647625.35
000593.SZ,20031231,298674474.54,39607790.2,582972508.86
000612.SZ,20031231,1813014096.85,324452559.86,2796345924.17
000828.SZ,20031231,514885196.31,308520568.02,2787262340.38
000401.SZ,20031231,2908718435.71,330404775.44,4680122507.01
000916.SZ,20031231,111246944.02,811242605.36,3052939261.12
000911.SZ,20031231,853068499.53,117398328.87,1679502116.25
000932.SZ,20031231,5634480512.51,1782449559.67,12649171507.01
000972.SZ,20031231,1339788180.17,110797079.45,1918146763.09
600875.SH,20031231,2764699267.08,1297677203.31,3714720827.54
600008.SH,20031231,642709411.96,653458516.24,4826432608.66
600011.SH,20031231,17400177972.0,4433604438.0,53276965016.0
600010.SH,20031231,5581989969.31,1670819378.64,9739329037.72
600051.SH,20031231,2606637844.39,635070138.31,3704608345.55
600093.SH,20031231,597520348.63,51191906.54,1054347777.36
600102.SH,20031231,3867464789.56,602028266.98,8265308190.89
600095.SH,20031231,292993683.4,98028255.77,919986109.29
600110.SH,20031231,259977124.57,198971323.58,924407754.03
600113.SH,20031231,106861266.19,32119857.74,492240803.09
600119.SH,20031231,374801407.06,175934883.29,850921775.42
600132.SH,20031231,1075026568.87,147783884.03,1801333550.34
600557.SH,20031231,403556751.73,217833785.7,778433557.71
600137.SH,20031231,667281289.44,62240266.31,153655771.4
600582.SH,20031231,195556652.4,213434630.79,681818485.86
600573.SH,20031231,418626738.42,226497121.45,1344634515.35
600553.SH,20031231,859497468.43,139840825.48,1651108731.66
600282.SH,20031231,2686300540.69,1016377017.54,4883219422.55
600303.SH,20031231,1355351092.71,408194060.79,2088555426.51
600352.SH,20031231,1084344068.41,667800972.64,1941249758.77
600399.SH,20031231,3091305605.57,881267150.49,4550798683.43
600439.SH,20031231,257420405.73,158322395.45,674166414.18
600415.SH,20031231,1725247097.73,64023486.37,2118180030.34
600455.SH,20031231,80735658.22,49620767.53,166866582.47
600478.SH,20031231,216344252.64,80214704.54,527453089.17
600460.SH,20031231,249435896.85,176688812.57,772420363.67
600820.SH,20031231,5110113186.29,690196690.12,6942852927.65
600501.SH,20031231,543324609.58,259895288.64,1058399661.19
600509.SH,20031231,1315833020.86,34963070.25,2022710205.97
600850.SH,20031231,377198857.39,45997779.6,603015633.78
600835.SH,20031231,3881074009.27,3594952662.7,8529207681.55
600855.SH,20031231,202942958.18,152496453.57,453523358.8
600874.SH,20031231,1166598062.0,450074006.0,3186946280.0
600886.SH,20031231,2972823785.1,136039161.43,4600508528.35
600531.SH,20031231,524728384.07,155427932.5,1100942523.82
600230.SH,20031231,832712281.02,111686015.18,1740929925.24
600710.SH,20031231,704183351.71,108150114.23,1359103730.73
600805.SH,20031231,3490371113.77,719975816.34,5558234293.46
600724.SH,20031231,980299714.18,212317187.74,1685565136.86
600720.SH,20031231,808270716.54,71554169.43,1579312258.11
000519.SZ,20031231,178621634.58,52939401.78,519271753.31
000042.SZ,20031231,3380301917.59,620635744.83,4928490155.94
600696.SH,20031231,789127962.77,241559519.97,1266429708.42
000538.SZ,20031231,397509736.2,244274925.84,1045678331.87
000544.SZ,20031231,619060062.7,27062608.97,932982663.88
000617.SZ,20031231,381275844.75,68117955.7,623613814.19
600297.SH,20031231,500357927.58,375027959.7,1054894151.47
000807.SZ,20031231,1994326565.42,375343965.5,3483797033.52
000407.SZ,20031231,512253878.82,60038427.15,1118555583.99
000603.SZ,20031231,83226045.7,16935821.96,200316514.65
000786.SZ,20031231,927552589.19,497303633.51,2451972599.49
600647.SH,20031231,143563883.26,23721909.53,147474662.41
000670.SZ,20031231,985554378.91,70144733.73,1905172381.23
600675.SH,20031231,4090793009.62,1189265215.92,5897542934.85
000949.SZ,20031231,897833975.93,192544934.95,2146072583.1
000049.SZ,20031231,164215843.35,25445309.14,276946314.38
000677.SZ,20031231,1367228342.04,212480436.36,1947168344.91
000825.SZ,20031231,4555480001.51,1513449164.4,9065436473.26
000819.SZ,20031231,302508602.35,140534412.29,707450746.95
000959.SZ,20031231,6848612286.45,4003444381.49,12949738405.01
600082.SH,20031231,340180973.25,123966342.46,759469003.59
600743.SH,20031231,214440368.64,5722339.02,223127336.0
600755.SH,20031231,2874332199.49,474356410.12,3731627657.76
600834.SH,20031231,394912375.05,33185743.88,1055844783.7
600237.SH,20031231,240752636.17,17611501.59,767835779.82
600500.SH,20031231,1191376960.87,621164058.35,3274773142.2
600605.SH,20031231,418721722.69,107520357.76,733799497.75
000423.SZ,20031231,121805387.07,192652087.36,1019415112.92
