ts_code,end_date,total_liab,money_cap,total_assets
000016.SZ,20080331,4827278783.75,468400177.07,8630608823.72
002023.SZ,20080331,132748089.74,164849770.49,641557903.11
001267.SZ,20080331,637907606.59,167471.98,210608765.23
000001.SZ,20080331,395432539000.0,,409473923000.0
600016.SH,20080331,954227292000.0,,1003541228000.0
002142.SZ,20080331,74258939066.48,,82582093163.08
601988.SH,20080331,5870874000000.0,,6344612000000.0
000047.SZ,20080331,1229894269.26,54316.94,205912275.01
601009.SH,20080331,76703618425.97,,87137074652.2
601169.SH,20080331,334999063000.0,,363447457000.0
600015.SH,20080331,584116995910.43,,597968040039.04
000689.SZ,20080331,623991213.72,44533.24,25451039.91
000660.SZ,20080331,998964935.0,1564532.47,89483008.19
000675.SZ,20080331,847007873.1,2229566.47,159237906.45
600036.SH,20080331,1299024000000.0,,1373786000000.0
601939.SH,20080331,6426661000000.0,,6875030000000.0
601998.SH,20080331,989999000000.0,,1076058000000.0
000556.SZ,20080331,134173111.57,,763769.92
000686.SZ,20080331,9323222974.41,8153454125.58,11582443162.26
600837.SH,20080331,50586715843.01,74806205800.27,87918894788.41
600109.SH,20080331,5774927577.07,6186595381.28,8462064035.51
000562.SZ,20080331,14555883335.66,12998783622.33,20485968129.93
000728.SZ,20080331,10925224522.65,10788696704.8,15445858539.65
000783.SZ,20080331,17395744889.41,14497001255.54,23185300426.67
601099.SH,20080331,2526917674.15,2736475867.75,4301781694.16
601318.SH,20080331,536745000000.0,72663000000.0,633436000000.0
601628.SH,20080331,744645000000.0,36094000000.0,897687000000.0
600600.SH,20080331,6243909198.0,1645391461.0,12169545618.0
000030.SZ,20080331,1685006330.85,71603.98,27108396.72
600619.SH,20080331,3087468364.59,192815505.94,5100240129.47
600141.SH,20080331,2063362434.35,363991349.92,2988465296.86
600031.SH,20080331,7384192682.42,2613829287.04,12761283320.97
600609.SH,20080331,3833657978.28,1071833288.33,4701077874.88
600593.SH,20080331,352667024.43,38865102.24,630061661.38
600361.SH,20080331,3120403774.18,2101283162.08,4830108952.0
600535.SH,20080331,1396721587.67,370394251.82,3409279352.6
000089.SZ,20080331,396464731.82,1361041204.46,5121123422.09
000418.SZ,20080331,1940630850.66,734210913.72,3686813277.82
000034.SZ,20080331,1145568102.78,12125202.37,316119805.71
600461.SH,20080331,137100546.23,64245740.0,634576754.84
600028.SH,20080331,433429000000.0,28397000000.0,773761000000.0
600775.SH,20080331,1132962871.03,340475517.55,2610313783.49
600768.SH,20080331,455878561.6,43777683.66,652941969.86
600330.SH,20080331,907682465.44,425500526.05,2556099968.12
600107.SH,20080331,690062619.72,288388559.36,1177472162.4
002095.SZ,20080331,44090318.98,317294606.81,402764087.51
002119.SZ,20080331,401319666.16,194178668.3,952653728.93
000905.SZ,20080331,1828890250.22,529217191.86,3424146341.98
002049.SZ,20080331,79301296.13,76346033.78,471542635.4
002057.SZ,20080331,109674736.7,61841238.27,359763061.88
002044.SZ,20080331,79504054.83,213530237.34,399375618.28
600960.SH,20080331,1376094091.54,375801251.31,2018111676.24
000026.SZ,20080331,448786412.43,84353385.54,1109407767.06
002015.SZ,20080331,481141549.62,122494285.76,823887802.5
002193.SZ,20080331,338204267.49,131084772.93,900805554.07
600077.SH,20080331,178609606.53,139049262.65,516966127.5
600602.SH,20080331,1813429530.43,216287958.79,4991919886.92
000404.SZ,20080331,1910869317.85,200925903.39,2559047233.25
000033.SZ,20080331,179796578.65,3408883.03,482863089.33
002077.SZ,20080331,959060233.35,157509232.41,1707857964.27
002066.SZ,20080331,280569141.49,45215070.81,560408449.49
002050.SZ,20080331,422815908.18,204772939.48,859363751.4
002070.SZ,20080331,800987403.82,57742249.68,1282684393.45
600372.SH,20080331,2133674608.83,362973893.16,2495499754.46
002036.SZ,20080331,93679763.89,120863572.4,604121815.96
002045.SZ,20080331,645299403.0,106445621.0,1388498380.0
002042.SZ,20080331,207248406.75,4350118.11,399044433.51
000429.SZ,20080331,2476836586.91,452062805.86,6311221690.89
000416.SZ,20080331,154342617.26,318650118.55,836133623.85
000926.SZ,20080331,3907054358.26,456706431.17,6089050720.25
000017.SZ,20080331,2002993669.84,29164248.4,222414319.17
000048.SZ,20080331,1244791187.72,60558393.75,1071330427.63
000025.SZ,20080331,647298086.85,71548492.01,853981402.78
002187.SZ,20080331,763453042.32,734889341.72,1643478009.5
000712.SZ,20080331,572786395.54,132088310.25,1268351285.33
000709.SZ,20080331,25531451352.79,5761627483.74,38320189601.27
002116.SZ,20080331,649266254.04,450042379.77,1092584486.24
002107.SZ,20080331,113221350.62,167535256.13,467389987.73
002126.SZ,20080331,532921693.98,150276611.67,1010608558.51
002117.SZ,20080331,187608130.66,121596278.56,690715867.58
600569.SH,20080331,16091479314.95,3075593569.43,26847307973.46
600588.SH,20080331,517984393.0,802746980.0,2772976670.0
600597.SH,20080331,1712515104.0,489648920.0,4292905288.0
600539.SH,20080331,236315384.99,306273893.27,1117137994.72
600033.SH,20080331,3826003322.29,643044321.75,8172785920.9
600067.SH,20080331,5926379893.48,682247251.69,7202411778.1
600051.SH,20080331,2093951154.35,475746962.88,3501731104.07
600027.SH,20080331,50928838000.0,1459879000.0,69162960000.0
600078.SH,20080331,3068132313.5,1137399538.73,4461278089.33
600086.SH,20080331,850515196.23,22175971.31,1303623417.05
600068.SH,20080331,21523802443.9,2588020763.71,26801435417.36
600997.SH,20080331,4767926971.59,1400072725.95,8526129972.73
600035.SH,20080331,589894439.37,174680394.48,2999969420.14
600060.SH,20080331,1808860543.96,466408780.96,4804212304.34
600019.SH,20080331,111178705413.73,26526190729.59,209994378930.67
600021.SH,20080331,15450808928.08,1571347651.03,24975269192.19
600010.SH,20080331,19684011232.36,1819977764.48,34273335924.34
600795.SH,20080331,42450115940.38,2547617553.2,62192503772.01
600403.SH,20080331,96824276.29,173397383.75,407346226.59
600439.SH,20080331,490577737.81,532228827.01,1603981970.28
600416.SH,20080331,2860802280.0,643393050.0,4189777314.0
600350.SH,20080331,2971180389.0,1488236196.0,11593178232.0
600335.SH,20080331,617596472.21,152407049.32,1036530775.25
600266.SH,20080331,7304114044.2,1668798401.57,10921123215.67
600265.SH,20080331,405730775.76,27915731.81,786889328.95
600276.SH,20080331,283877345.44,551120591.98,1993435906.17
600279.SH,20080331,1569158757.75,552431934.86,2564027383.21
600277.SH,20080331,1210613837.89,373899956.24,2205012026.47
600278.SH,20080331,1101336102.28,792188102.75,2772875667.8
600307.SH,20080331,4871151997.1,1381561794.35,9787628505.27
600287.SH,20080331,2423742909.73,767433319.21,3618456085.37
600300.SH,20080331,1278047703.26,436389228.52,2949554274.34
600319.SH,20080331,1717786523.98,464029610.65,2912156380.99
600353.SH,20080331,167689401.0,89967761.79,543400630.66
600381.SH,20080331,611244801.33,1565893.4,381053994.78
600343.SH,20080331,316976607.68,56749235.55,852031558.08
600345.SH,20080331,520511635.83,453240460.55,1573524077.34
600388.SH,20080331,2782643731.46,379867810.13,3854357454.69
600396.SH,20080331,4033279982.14,320609093.0,5525682274.92
600459.SH,20080331,784682804.85,181537304.07,1424811719.57
