ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,n_cashflow_act,c_pay_acq_const_fiolta
600515.SH,20131028,20131028,20130930,1,1,3,25373006.22,11162754.54
600516.SH,20131029,20131029,20130930,1,1,3,-467968443.71,66564246.57
600517.SH,20131030,20131030,20130930,1,1,3,-232396632.81,36724145.43
600518.SH,20131029,20131029,20130930,1,1,3,1335311962.0,524412023.16
600519.SH,20131016,20131016,20130930,1,1,3,9245117959.31,3944662952.02
600521.SH,20131028,20131028,20130930,1,1,3,412750854.63,346064693.98
600522.SH,20131025,20131025,20130930,1,1,3,-4433367.41,347787825.05
600525.SH,20131023,20131023,20130930,1,1,3,89456527.5,134450271.86
600528.SH,20131030,20131030,20130930,1,1,3,-1734349069.7,192859268.47
600529.SH,20131029,20131029,20130930,1,1,3,122843860.92,70584864.69
600535.SH,20131026,20131026,20130930,1,1,3,115115163.48,475929317.86
600536.SH,20131029,20131029,20130930,1,1,3,-580651915.62,44879172.51
600537.SH,20131026,20131026,20130930,1,1,3,293852116.24,71299023.96
600545.SH,20131025,20131025,20130930,1,1,3,62551237.78,29533706.31
600546.SH,20131025,20131025,20130930,1,1,3,214833970.63,1502151323.69
600547.SH,20131030,20131030,20130930,1,1,3,2588298670.08,1843351688.79
600549.SH,20131026,20131026,20130930,1,1,3,1612151380.64,656379445.36
600551.SH,20131031,20131031,20130930,1,1,3,-40278943.05,172821926.63
600556.SH,20131022,20131022,20130930,1,1,3,-4327551.16,21770.0
600557.SH,20131025,20131025,20130930,1,1,3,285380670.56,262292297.57
600562.SH,20131031,20131031,20130930,1,1,3,-15961027.52,19779937.38
600563.SH,20131031,20131031,20130930,1,1,3,223013753.0,48325910.45
600565.SH,20131025,20141028,20130930,1,1,3,-545186982.72,14557857.5
600566.SH,20131030,20131030,20130930,1,1,3,44637927.58,16753801.35
600567.SH,20131031,20131031,20130930,1,1,3,-290230847.1,292489784.32
600570.SH,20131029,20131029,20130930,1,1,3,-79477450.49,49276508.83
600572.SH,20131030,20131030,20130930,1,1,3,169942948.31,401711598.95
600575.SH,20131029,20131029,20130930,1,1,3,1325533312.91,440388168.26
600578.SH,20131030,20131030,20130930,1,1,3,3389691530.97,1433983093.72
600580.SH,20131029,20131029,20130930,1,1,3,21719938.23,257886082.95
600582.SH,20131029,20131029,20130930,1,1,3,-505354206.39,268572913.47
600583.SH,20131031,20131031,20130930,1,1,3,1982945734.39,1147464229.96
600584.SH,20131030,20131030,20130930,1,1,3,350996571.06,711219311.92
600585.SH,20131029,20131029,20130930,1,1,3,10117718145.0,4998145394.0
600586.SH,20131031,20131031,20130930,1,1,3,397110177.01,532337559.24
600587.SH,20131031,20131031,20130930,1,1,3,11843357.14,390464897.99
600588.SH,20131026,20131026,20130930,1,1,3,-379313564.0,230081800.0
600594.SH,20131029,20131029,20130930,1,1,3,416402360.52,228028392.81
600596.SH,20131029,20131029,20130930,1,1,3,886176288.43,250815330.73
600597.SH,20131029,20131029,20130930,1,1,3,917134559.0,676779897.0
600598.SH,20131030,20131030,20130930,1,1,3,1542286532.61,105922104.56
600600.SH,20131031,20131031,20130930,1,1,3,5337293725.0,1486229581.0
600601.SH,20131026,20131026,20130930,1,1,3,415061355.62,249387856.87
600602.SH,20131030,20131030,20130930,1,1,3,-64978930.17,16551677.52
600606.SH,20131026,20131026,20130930,1,1,3,-156842716.05,6437941.46
600611.SH,20131029,20131029,20130930,1,1,3,252705780.43,434672768.34
600612.SH,20131029,20131029,20130930,1,1,3,544941524.78,61234524.93
600614.SH,20131030,20131030,20130930,1,1,3,60388822.56,80378916.1
600617.SH,20131028,20131028,20130930,1,1,3,858519.02,59128.0
600618.SH,20131025,20131025,20130930,1,1,3,264054744.62,244637708.23
600623.SH,20131031,20131031,20130930,1,1,3,-114378588.92,324647458.86
600628.SH,20131021,20131021,20130930,1,1,3,119755895.31,4055197.86
600633.SH,20131030,20131030,20130930,1,1,3,320809420.03,83533482.88
600635.SH,20131029,20131029,20130930,1,1,3,48665511.36,117047689.53
600637.SH,20131029,20131029,20130930,1,1,3,353432241.05,378934910.35
600639.SH,20131031,20131031,20130930,1,1,3,-33342693.23,4831534.75
600640.SH,20131028,20131028,20130930,1,1,3,43653008.84,46410350.75
600642.SH,20131030,20131030,20130930,1,1,3,3159723683.55,870606287.8
600643.SH,20131030,20131030,20130930,1,1,3,-176190491.69,3850529.9
600645.SH,20131031,20131031,20130930,1,1,3,57410817.73,56631919.87
600648.SH,20131030,20131030,20130930,1,1,3,-1094034500.02,35840056.41
600649.SH,20131031,20131031,20130930,1,1,3,-606524924.78,565198224.35
600651.SH,20131031,20131031,20130930,1,1,3,-107352207.78,66921990.68
600259.SH,20131030,20131030,20130930,1,1,3,-156249033.51,125588022.34
600654.SH,20131029,20131029,20130930,1,1,3,-33424932.17,46646661.05
600655.SH,20131030,20131030,20130930,1,1,3,-126630099.32,47905756.58
600657.SH,20131029,20131029,20130930,1,1,3,-1820074586.41,10988172.81
600660.SH,20131029,20131029,20130930,1,1,3,2276577477.0,1499007682.0
600663.SH,20131028,20131028,20130930,1,1,3,137152471.73,104114239.1
600664.SH,20131031,20131031,20130930,1,1,3,432137792.67,273521194.93
600666.SH,20131022,20131022,20130930,1,1,3,125355931.13,69168781.82
600667.SH,20131028,20131028,20130930,1,1,3,400134339.81,668877134.77
600673.SH,20131022,20131022,20130930,1,1,3,222094406.54,258812277.72
600674.SH,20131026,20131026,20130930,1,1,3,530503133.49,22258425.31
600675.SH,20131025,20131025,20130930,1,1,3,805369233.42,52449613.42
600682.SH,20131031,20131031,20130930,1,1,3,206621532.06,79276594.3
600685.SH,20131026,20131026,20130930,1,1,3,-425205127.93,117986368.64
600687.SH,20131030,20131030,20130930,1,1,3,-245463802.96,100911617.78
600688.SH,20131029,20131029,20130930,1,1,3,4886124000.0,833351000.0
600690.SH,20131031,20131031,20130930,1,1,3,5023150519.79,1171217858.0
600694.SH,20131025,20131025,20130930,1,1,3,1761521931.82,173878760.57
600699.SH,20131030,20131030,20130930,1,1,3,212599556.91,351956717.23
600703.SH,20131031,20131031,20130930,1,1,3,494975948.17,517829050.9
600704.SH,20131029,20131029,20130930,1,1,3,-2398554729.48,223574176.07
