ts_code,ann_date,end_date,total_liab,money_cap,total_assets
301006.SZ,20210519,20201231,133658795.25,313003055.29,689961725.77
688625.SH,20210519,20201231,101032868.5,42975641.82,408625864.39
688319.SH,20210519,20201231,264287120.43,103981733.6,641257275.27
601156.SH,20210518,20201231,3401385197.68,2479524060.38,9096212341.5
301003.SZ,20210518,20201231,123817172.12,86359495.51,398957284.77
605319.SH,20210518,20201231,1436241298.17,126973593.93,2600903397.8
301000.SZ,20210517,20201231,175598033.29,38423544.43,444671759.03
301002.SZ,20210517,20201231,211380656.9,41572114.13,543598624.29
301001.SZ,20210517,20201231,147877308.68,116180149.8,487008424.14
688117.SH,20210514,20201231,155410598.68,129527477.65,592984864.45
300996.SZ,20210514,20201231,133984512.82,84050580.36,541602484.57
300998.SZ,20210514,20201231,694478942.26,62541996.34,1110382134.99
300997.SZ,20210514,20201231,598557424.09,175454477.69,1348221371.85
688175.SH,20210512,20201231,286233224.48,443754234.86,888951378.38
605189.SH,20210511,20201231,499607954.19,265291203.89,1280616286.0
688538.SH,20210510,20201231,14429313618.33,1420531394.2,24770670141.2
603836.SH,20210507,20201231,943008646.29,526797950.15,1884749392.86
605499.SH,20210507,20201231,2448033072.85,1224853696.22,4361286447.41
601665.SH,20210507,20201231,332933549000.0,,360232214000.0
920207.BJ,20210501,20201231,275260906.83,70952902.54,473565578.06
600687.SH,20210501,20201231,6711811780.05,35203224.77,5991766578.54
600074.SH,20210501,20201231,8995074265.46,116833584.3,553729688.36
601021.SH,20210430,20201231,18249205015.0,9191583313.0,32430080969.0
002329.SZ,20210430,20201231,3735076443.69,1361368577.77,6057174347.55
920571.BJ,20210430,20201231,1263394424.76,95382225.24,1594749526.41
603800.SH,20210430,20201231,670268434.96,263936380.35,1577864917.69
002730.SZ,20210430,20201231,283922772.88,99779807.46,1288844458.41
000733.SZ,20210430,20201231,2985707651.76,917693477.41,8958029098.16
002174.SZ,20210430,20201231,3533088361.0,1604770290.09,8592711982.0
600059.SH,20210430,20201231,804145415.63,810260005.86,5102759675.14
002486.SZ,20210430,20201231,305847017.98,278967887.96,1252696039.8
002622.SZ,20210430,20201231,469476440.14,194407887.79,1340539193.47
000156.SZ,20210430,20201231,9552233703.9,5641374329.68,23440513999.98
002806.SZ,20210430,20201231,713084943.66,213931605.09,1770356702.5
600900.SH,20210430,20201231,152505490083.29,9231213791.79,330827096559.03
002323.SZ,20210430,20201231,1354048242.91,5627805.02,1409443493.03
600613.SH,20210430,20201231,770278871.27,481486302.33,3097971351.94
603399.SH,20210430,20201231,1059826466.08,269244682.24,2963790283.45
600917.SH,20210430,20201231,4270870093.47,1615451882.18,9082647449.05
600133.SH,20210430,20201231,20121686980.67,4391653097.66,27178372195.78
002383.SZ,20210430,20201231,5483205505.24,650109979.34,7267130277.69
002591.SZ,20210430,20201231,212509033.39,158978570.28,989025633.36
002063.SZ,20210430,20201231,370648258.95,237155865.85,3138134407.02
920000.BJ,20210430,20201231,153194795.19,145180493.97,603038236.75
600078.SH,20210430,20201231,5581585771.79,396368526.0,5448359731.2
300993.SZ,20210430,20201231,60635695.81,261535588.01,709230841.96
002445.SZ,20210430,20201231,479705501.1,262050417.52,2043598928.25
