ts_code,ann_date,end_date,operate_profit,f_ann_date,report_type,revenue,oper_cost,biz_tax_surchg,sell_exp,admin_exp,fin_exp,invest_income
688599.SH,20260430,20251231,-7980219546.97,,,,,,,,,
600897.SH,20260430,20251231,750245086.4,,,,,,,,,
688711.SH,20260430,20251231,10830024.52,,,,,,,,,
920720.BJ,20260430,20251231,71529518.28,,,,,,,,,
002486.SZ,20260430,20251231,50748145.26,,,,,,,,,
600009.SH,20260430,20251231,3012515261.21,,,,,,,,,
002605.SZ,20260430,20251231,571894059.9,,,,,,,,,
603898.SH,20260430,20251231,14875452.34,,,,,,,,,
688021.SH,20260430,20251231,21676580.38,,,,,,,,,
688410.SH,20260430,20251231,182990702.3,,,,,,,,,
603528.SH,20260430,20251231,-53955321.25,,,,,,,,,
600847.SH,20260430,20251231,-52435830.15,,,,,,,,,
603290.SH,20260430,20251231,444032588.39,,,,,,,,,
603636.SH,20260430,20251231,-514156092.78,,,,,,,,,
600887.SH,20260430,20251231,13527806620.67,,,,,,,,,
600363.SH,20260430,20251231,576960722.52,,,,,,,,,
603535.SH,20260430,20251231,38175126.6,,,,,,,,,
601222.SH,20260430,20251231,278292191.35,,,,,,,,,
688057.SH,20260430,20251231,92070491.11,,,,,,,,,
688032.SH,20260430,20251231,-232160704.31,,,,,,,,,
688458.SH,20260430,20251231,-37034184.54,,,,,,,,,
600392.SH,20260430,20251231,1037666345.38,,,,,,,,,
600406.SH,20260430,20251231,9809281552.09,,,,,,,,,
603520.SH,20260430,20251231,12161398.81,,,,,,,,,
600108.SH,20260430,20251231,25897843.81,,,,,,,,,
688618.SH,20260430,20251231,34869062.7,,,,,,,,,
600117.SH,20260430,20251231,-1007412108.09,,,,,,,,,
600626.SH,20260430,20251231,74780223.94,,,,,,,,,
920719.BJ,20260430,20251231,-462893075.86,,,,,,,,,
688152.SH,20260430,20251231,-69113581.57,,,,,,,,,
920510.BJ,20260430,20251231,-16740608.3,,,,,,,,,
300560.SZ,20260430,20251231,-80776097.15,,,,,,,,,
603280.SH,20260430,20251231,95918813.04,,,,,,,,,
603368.SH,20260430,20251231,882385074.27,,,,,,,,,
600978.SH,20260430,20251231,-978972879.9,,,,,,,,,
600565.SH,20260430,20251231,-3889473141.17,,,,,,,,,
600745.SH,20260430,20251231,-8153436688.09,,,,,,,,,
600220.SH,20260430,20251231,-670496028.14,,,,,,,,,
600200.SH,20260430,20251231,-179320881.14,,,,,,,,,
600187.SH,20260430,20251231,-190048437.55,,,,,,,,,
600112.SH,20260430,20251231,-114956609.45,,,,,,,,,
600068.SH,20260430,20251231,3896760952.11,,,,,,,,,
300202.SZ,20260430,20251231,-56498720.31,,,,,,,,,
002602.SZ,20260430,20251231,7005705719.31,,,,,,,,,
300010.SZ,20260430,20251231,63737505.98,,,,,,,,,
002325.SZ,20260430,20251231,-467846375.89,,,,,,,,,
000793.SZ,20260430,20251231,-169009663.77,,,,,,,,,
000806.SZ,20260430,20251231,-103826135.16,,,,,,,,,
000732.SZ,20260430,20251231,-25191063720.17,,,,,,,,,
000671.SZ,20260430,20251231,-16762459614.36,,,,,,,,,
000667.SZ,20260430,20251231,-1311234781.8,,,,,,,,,
000616.SZ,20260430,20251231,-53013419.89,,,,,,,,,
000511.SZ,20260430,20251231,-211481298.23,,,,,,,,,
000078.SZ,20260430,20251231,-504928839.43,,,,,,,,,
002609.SZ,20260430,20251231,78832799.67,,,,,,,,,
603730.SH,20260430,20251231,909546597.5,,,,,,,,,
603188.SH,20260430,20251231,-60079911.65,,,,,,,,,
603023.SH,20260430,20251231,4134660.15,,,,,,,,,
600933.SH,20260430,20251231,1394300876.87,,,,,,,,,
688150.SH,20260430,20251231,250609442.71,,,,,,,,,
600567.SH,20260430,20251231,-1038758251.07,,,,,,,,,
688007.SH,20260430,20251231,-227616721.35,,,,,,,,,
600884.SH,20260430,20251231,618421599.08,,,,,,,,,
688710.SH,20260430,20251231,-12886209.6,,,,,,,,,
600807.SH,20260430,20251231,-174607443.17,,,,,,,,,
920982.BJ,20260430,20251231,768287154.22,,,,,,,,,
600587.SH,20260430,20251231,590866815.68,,,,,,,,,
688409.SH,20260430,20251231,31313863.06,,,,,,,,,
605303.SH,20260430,20251231,-146938315.0,,,,,,,,,
002663.SZ,20260430,20251231,-389801839.59,,,,,,,,,
603195.SH,20260430,20251231,4959212810.6,,,,,,,,,
600215.SH,20260430,20251231,-394837395.11,,,,,,,,,
603052.SH,20260430,20251231,5271484.22,,,,,,,,,
688333.SH,20260430,20251231,216165920.52,,,,,,,,,
603628.SH,20260430,20251231,51899782.55,,,,,,,,,
688272.SH,20260430,20251231,-84582391.71,,,,,,,,,
002031.SZ,20260430,20251231,-238223635.41,,,,,,,,,
603668.SH,20260430,20251231,-180278478.75,,,,,,,,,
301152.SZ,20260430,20251231,-200745201.55,,,,,,,,,
603690.SH,20260430,20251231,-797276845.59,,,,,,,,,
603717.SH,20260430,20251231,-101905573.15,,,,,,,,,
603192.SH,20260430,20251231,89241629.83,,,,,,,,,
603232.SH,20260430,20251231,-97759509.06,,,,,,,,,
601500.SH,20260430,20251231,205664864.58,,,,,,,,,
605122.SH,20260430,20251231,-256577884.66,,,,,,,,,
603927.SH,20260430,20251231,175000837.31,,,,,,,,,
603863.SH,20260430,20251231,-203537841.21,,,,,,,,,
603567.SH,20260430,20251231,-1590596672.77,,,,,,,,,
600396.SH,20260430,20251231,323486200.53,,,,,,,,,
600004.SH,20260430,20251231,1764142410.73,,,,,,,,,
688478.SH,20260430,20251231,-48850134.81,,,,,,,,,
600438.SH,20260430,20251231,-11525989535.68,,,,,,,,,
600436.SH,20260430,20251231,2545855552.19,,,,,,,,,
603661.SH,20260430,20251231,302362602.55,,,,,,,,,
601985.SH,20260430,20251231,23122272730.14,,,,,,,,,
002277.SZ,20260430,20251231,-360162981.96,,,,,,,,,
600521.SH,20260430,20251231,456461342.57,,,,,,,,,
600354.SH,20260430,20251231,180953374.36,,,,,,,,,
601666.SH,20260430,20251231,576582746.41,,,,,,,,,
688439.SH,20260430,20251231,171492491.48,,,,,,,,,
603190.SH,20260430,20251231,134805792.54,,,,,,,,,
600783.SH,20260430,20251231,218969903.92,,,,,,,,,
688247.SH,20260430,20251231,55318824.23,,,,,,,,,
600850.SH,20260430,20251231,336290551.46,,,,,,,,,
600281.SH,20260430,20251231,1714039.97,,,,,,,,,
920469.BJ,20260430,20251231,-89380003.59,,,,,,,,,
002269.SZ,20260430,20251231,-236284719.31,,,,,,,,,
920725.BJ,20260430,20251231,-20411871.78,,,,,,,,,
688219.SH,20260430,20251231,196990198.91,,,,,,,,,
688443.SH,20260430,20251231,-528729036.41,,,,,,,,,
605399.SH,20260430,20251231,-73315536.78,,,,,,,,,
600996.SH,20260430,20251231,-1355909244.59,,,,,,,,,
603711.SH,20260430,20251231,137304533.53,,,,,,,,,
600150.SH,20260430,20251231,10897628667.81,,,,,,,,,
003043.SZ,20260429,20251231,116449806.51,,,,,,,,,
300547.SZ,20260429,20251231,230883641.73,,,,,,,,,
001209.SZ,20260429,20251231,40922088.01,,,,,,,,,
002224.SZ,20260429,20251231,21810415.66,,,,,,,,,
603716.SH,20260429,20251231,-147090026.04,,,,,,,,,
001226.SZ,20260429,20251231,23171252.13,,,,,,,,,
002194.SZ,20260429,20251231,-14948935.3,,,,,,,,,
603660.SH,20260429,20251231,-492711490.23,,,,,,,,,
003042.SZ,20260429,20251231,-160969073.22,,,,,,,,,
603085.SH,20260429,20251231,122148575.65,,,,,,,,,
002124.SZ,20260429,20251231,-1269412709.58,,,,,,,,,
000021.SZ,20260429,20251231,1713674193.24,,,,,,,,,
002545.SZ,20260429,20251231,1448806584.99,,,,,,,,,
300380.SZ,20260429,20251231,35911265.01,,,,,,,,,
688717.SH,20260429,20251231,47876047.17,,,,,,,,,
603797.SH,20260429,20251231,184486228.41,,,,,,,,,
688701.SH,20260429,20251231,-57709400.98,,,,,,,,,
688390.SH,20260429,20251231,106965314.62,,,,,,,,,
000503.SZ,20260429,20251231,-402595517.97,,,,,,,,,
002455.SZ,20260429,20251231,-304477102.73,,,,,,,,,
600681.SH,20260429,20251231,395364311.76,,,,,,,,,
300162.SZ,20260429,20251231,-47528802.88,,,,,,,,,
002099.SZ,20260429,20251231,-80025705.83,,,,,,,,,
300421.SZ,20260429,20251231,79442098.78,,,,,,,,,
002111.SZ,20260429,20251231,161177813.15,,,,,,,,,
688779.SH,20260429,20251231,86570255.47,,,,,,,,,
920146.BJ,20260429,20251231,-27530429.95,,,,,,,,,
300657.SZ,20260429,20251231,226890135.37,,,,,,,,,
