ts_code,end_date,c_fr_sale_sg,c_pay_acq_const_fiolta
000810.SZ,20081231,887908995.58,47639250.51
000811.SZ,20081231,1299853413.1,31946564.53
000815.SZ,20081231,1293937912.68,45098153.54
000816.SZ,20081231,2293880906.29,120443865.52
000826.SZ,20081231,365711644.09,330218575.66
000828.SZ,20081231,429390433.76,233423955.94
000832.SZ,20081231,389476919.81,
000833.SZ,20081231,1600183567.81,36178312.5
000837.SZ,20081231,896993434.4,60764012.58
000839.SZ,20081231,2001688018.66,359946148.78
000848.SZ,20081231,1773881308.84,5995052.58
000850.SZ,20081231,1639564036.93,313235929.57
000851.SZ,20081231,805689967.7,26700673.95
000852.SZ,20081231,1213861639.51,130534052.95
000858.SZ,20081231,9514523471.02,109368261.26
000861.SZ,20081231,858948978.32,135693875.26
000862.SZ,20081231,430555647.15,208570317.1
000868.SZ,20081231,2231919325.52,47873558.4
000877.SZ,20081231,3273297131.94,610281752.64
000881.SZ,20081231,2362569785.92,676161248.24
000885.SZ,20081231,781278445.02,17367814.27
000893.SZ,20081231,1347273270.96,48601759.76
000895.SZ,20081231,29582072003.63,259437662.44
000897.SZ,20081231,877583416.6,3285057.16
000901.SZ,20081231,109698442.24,5548561.15
000903.SZ,20081231,1941718423.42,392942267.88
000906.SZ,20081231,3011717635.82,12598371.52
000911.SZ,20081231,3854993752.1,502818909.81
000912.SZ,20081231,5773763610.24,790744401.53
000915.SZ,20081231,580935761.1,34391131.73
000916.SZ,20081231,794266479.63,171122833.83
000919.SZ,20081231,2240159741.08,22111881.39
000926.SZ,20081231,3494035520.7,179074019.61
000930.SZ,20081231,5480653493.84,243903560.23
000932.SZ,20081231,68410340953.18,9403014313.89
000935.SZ,20081231,776598781.38,108487081.24
000936.SZ,20081231,3528984777.45,20872429.86
000937.SZ,20081231,10236294148.54,2174995302.58
000938.SZ,20081231,4266673403.33,184938811.04
000939.SZ,20081231,2165899522.58,552708424.66
000950.SZ,20081231,1626132400.93,322209985.75
000952.SZ,20081231,586087081.54,219762705.27
000957.SZ,20081231,1610271924.79,36759720.76
000958.SZ,20081231,1181718189.82,70448384.59
000961.SZ,20081231,3963936661.18,20974959.92
000962.SZ,20081231,1068649725.84,200238863.27
000963.SZ,20081231,6862275800.46,88236933.58
000968.SZ,20081231,5230358708.87,193908894.63
000969.SZ,20081231,3989954980.82,339903757.26
000970.SZ,20081231,2420303621.74,141102203.22
000971.SZ,20081231,123052287.84,2349650.04
000978.SZ,20081231,198355097.3,47298049.0
000979.SZ,20081231,112637384.97,4342830.41
000980.SZ,20081231,633409256.41,84652678.9
000981.SZ,20081231,52070586.21,396302.02
000982.SZ,20081231,840146502.95,44243668.86
000983.SZ,20081231,11560765798.8,1955687072.2
000987.SZ,20081231,3130593236.98,13197209.24
000988.SZ,20081231,1163797168.85,131730790.4
000989.SZ,20081231,1235762678.87,50638519.96
000990.SZ,20081231,2728740863.18,87007705.44
000993.SZ,20081231,333852534.1,189665712.52
000996.SZ,20081231,98014255.21,4033167.51
000999.SZ,20081231,3769724395.9,1203185863.0
001696.SZ,20081231,3559563660.63,84830545.06
001896.SZ,20081231,347072321.48,39225631.7
002001.SZ,20081231,3572085771.11,387273242.72
002003.SZ,20081231,1791402332.83,229521178.21
002007.SZ,20081231,518296872.79,126898345.6
002011.SZ,20081231,2075006656.95,135916428.3
002013.SZ,20081231,374234657.07,82571567.76
002014.SZ,20081231,1142690178.93,79523246.68
002015.SZ,20081231,1387425952.66,90174991.47
002016.SZ,20081231,290621420.57,8817630.62
002018.SZ,20081231,1407207638.06,101638569.02
002019.SZ,20081231,632935403.83,122457406.62
002022.SZ,20081231,555783794.72,17701244.1
002023.SZ,20081231,202079781.44,44262639.07
002024.SZ,20081231,55016517000.0,2454061000.0
002025.SZ,20081231,474579634.18,77857015.01
002026.SZ,20081231,522458533.35,16904745.69
002027.SZ,20081231,2492673536.39,28623487.26
002028.SZ,20081231,1600566196.47,187707817.27
002030.SZ,20081231,236574344.12,25118575.79
002031.SZ,20081231,330834045.0,94201170.7
002032.SZ,20081231,3971286482.26,111873714.77
002033.SZ,20081231,160948437.6,175778188.87
002035.SZ,20081231,1443212760.2,53332284.9
002037.SZ,20081231,1065184433.3,58117120.92
002038.SZ,20081231,383224275.8,23607993.33
002039.SZ,20081231,786831257.2,872221249.28
002040.SZ,20081231,138401827.0,28761332.0
002042.SZ,20081231,277889816.21,904798.76
002044.SZ,20081231,441443269.7,10295136.27
002046.SZ,20081231,317670015.64,19077301.19
002052.SZ,20081231,1943879141.76,187991903.27
002053.SZ,20081231,1503421483.66,132534319.48
002056.SZ,20081231,1838896967.34,259206340.45
002058.SZ,20081231,101632704.68,6712435.83
002059.SZ,20081231,443867487.77,5051124.68
002060.SZ,20081231,1919635994.98,195243615.97
002062.SZ,20081231,4427544131.45,207705432.44
002063.SZ,20081231,202075157.58,11380128.75
002066.SZ,20081231,473201982.24,65828900.76
