ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
688122.SH,20160203,20160203,20151231,1,1,886936849.64,886936849.64,512538419.71,122658186.46,157176590.55,137466411.03,0.41
300846.SZ,20160227,20170422,20151231,1,1,231821788.16,231821788.16,116800916.3,40311996.01,43494120.88,38207124.69,0.4976
002250.SZ,20160205,20160205,20151231,1,1,4007786872.33,4007786872.33,2515157585.0,736120902.72,736103055.73,644576317.16,0.77
300023.SZ,20160204,20160204,20151231,1,1,332773585.93,332773585.93,199232594.07,81518982.81,87909249.17,65830139.23,0.42
300376.SZ,20160219,20160220,20151231,1,1,3682385136.37,3682385136.37,3039852262.19,280078687.62,316438035.21,278669111.94,1.11
002697.SZ,20160218,20160218,20151231,1,1,5486179813.6,5486179813.6,3997994846.99,201828938.8,215882388.02,178966834.98,0.13
300349.SZ,20160220,20160220,20151231,1,1,592699561.19,592699561.19,364698306.7,79147182.49,103955018.56,89076567.11,0.46
300363.SZ,20160224,20160224,20151231,1,1,1021209221.41,1021209221.41,688715360.44,129073994.19,131756445.04,105634513.68,0.27
300336.SZ,20160227,20160227,20151231,1,1,1026087420.65,1026087420.65,550890961.51,315440836.47,330393763.7,248268776.22,0.47
002727.SZ,20160229,20160229,20151231,1,1,5321152330.87,5321152330.87,3090299367.62,379014672.77,390127200.83,346438643.78,1.331
300367.SZ,20160203,20160203,20151231,1,1,1016782580.04,1016782580.04,444403365.05,248406413.34,302696266.31,270094155.59,0.8391
002714.SZ,20160225,20160225,20151231,1,1,3003474722.79,3003474722.79,2263913601.92,505431577.31,595850841.56,595850841.56,1.23
603166.SH,20160227,20160227,20151231,1,1,933195576.92,933195576.92,705889379.93,14612976.76,52415206.03,50283187.13,0.12
002691.SZ,20160223,20160223,20151231,1,1,280100283.24,280100283.24,135817750.97,24186305.76,29330105.01,24037669.41,0.12
002674.SZ,20160223,20160223,20151231,1,1,2358148642.13,2358148642.13,2163134505.54,-8418954.01,14960160.38,13299906.0,0.0548
002676.SZ,20160205,20160205,20151231,1,1,1201514551.12,1201514551.12,964298981.38,-1976215.94,2863842.68,1702582.9,0.01
002138.SZ,20160227,20160227,20151231,1,1,1319276021.49,1319276021.49,837744691.38,267779079.33,289565303.14,261535696.81,0.36
002536.SZ,20160226,20160226,20151231,1,1,1914844362.09,1914844362.09,1478009659.79,53550360.74,65444154.65,58080463.56,0.54
002652.SZ,20160229,20160229,20151231,1,1,1450997683.12,1450997683.12,1203465144.41,86793627.63,86166411.22,69553940.18,0.13
300271.SZ,20160223,20160223,20151231,1,1,1351669927.31,1351669927.31,763905420.24,185049286.21,241077990.88,208617970.55,0.69
600879.SH,20160220,20160220,20151231,1,1,5609329596.54,5609329596.54,4451632440.19,327942551.66,357390493.5,286045736.88,0.26
000559.SZ,20160227,20160227,20151231,1,1,10241434098.1,10241434098.1,8065030983.47,870359640.83,924638159.36,838530907.43,0.34
002015.SZ,20160205,20160205,20151231,1,1,393181646.21,393181646.21,361470292.91,3599099.96,108742210.02,108742210.02,0.27
002675.SZ,20160227,20160227,20151231,1,1,794915779.23,794915779.23,493275279.22,128174318.66,134440740.59,111540232.79,0.4858
