ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta
000001.SZ,20150313,20150313,20141231,25321000000.0,3835000000.0
000006.SZ,20150401,20150401,20141231,-1097953994.97,6895191.61
000002.SZ,20150331,20150331,20141231,41724819113.36,1830745575.2
000009.SZ,20150429,20150429,20141231,474634829.06,643475988.95
000008.SZ,20150210,20150210,20141231,68698054.36,2851637.52
000021.SZ,20150330,20150330,20141231,-99091666.84,516332455.89
000025.SZ,20150410,20150410,20141231,6214706.85,103733506.3
000012.SZ,20150331,20150331,20141231,1406259210.0,1893112812.0
000027.SZ,20150327,20150327,20141231,3190136649.58,1813934593.59
000028.SZ,20150321,20150321,20141231,-796697032.43,342669442.11
000039.SZ,20150325,20150325,20141231,6434477000.0,12873151000.0
000034.SZ,20150330,20150330,20141231,-28153147.99,13652305.62
000032.SZ,20150317,20150317,20141231,62757357.49,13570832.08
000031.SZ,20150418,20150418,20141231,-2061824305.16,233234250.61
000030.SZ,20150429,20150429,20141231,359864277.12,146989809.96
000046.SZ,20150404,20150404,20141231,727783719.82,80450364.43
000049.SZ,20150303,20150303,20141231,148800077.64,122005569.99
000050.SZ,20150206,20150206,20141231,1385683779.0,522134710.0
000060.SZ,20150402,20150402,20141231,859415243.0,973490109.24
000061.SZ,20150430,20150430,20141231,722412135.27,2015824481.94
000078.SZ,20150421,20150421,20141231,-117480859.17,236591326.98
000066.SZ,20150418,20150418,20141231,2603621199.44,1403097481.03
000069.SZ,20150321,20150321,20141231,-2588443955.89,1624754676.14
000062.SZ,20150314,20150314,20141231,248087379.24,29486349.98
000063.SZ,20150326,20150326,20141231,2512635000.0,2067604000.0
000089.SZ,20150430,20150430,20141231,902946012.28,367050016.69
000088.SZ,20150418,20150418,20141231,117939045.51,606811307.42
000099.SZ,20150317,20150317,20141231,265920064.69,350691279.31
000090.SZ,20150421,20150421,20141231,351220397.01,62685468.0
000100.SZ,20150303,20150303,20141231,5412241000.0,7693483000.0
000166.SZ,20150430,20150430,20141231,21661081716.99,135431837.49
000157.SZ,20150328,20150328,20141231,-7690132991.82,974853546.47
000156.SZ,20150331,20150331,20141231,1345570066.98,773213531.08
000155.SZ,20150430,20150430,20141231,-59645202.82,22242871.35
000158.SZ,20150206,20150206,20141231,119395771.92,164510678.66
000301.SZ,20150414,20150414,20141231,-124950151.52,215121749.9
000401.SZ,20150414,20150414,20141231,2253471810.46,852230386.51
000338.SZ,20150331,20150331,20141231,11171728281.02,3309695720.5
000333.SZ,20150331,20150331,20141231,24788511130.0,2678179150.0
000400.SZ,20150327,20150327,20141231,-208308549.23,119401077.94
000408.SZ,20150429,20150429,20141231,639311.64,296142.79
000402.SZ,20150331,20150331,20141231,-321179673.2,197208737.68
000403.SZ,20150430,20150430,20141231,77039221.86,71049393.84
000413.SZ,20150217,20150217,20141231,-44057409.28,1139622693.12
000415.SZ,20150429,20150429,20141231,4734712000.0,18427754000.0
000418.SZ,20150320,20150320,20141231,1657114317.33,78485490.25
000423.SZ,20150319,20150319,20141231,657105721.16,275702897.55
000417.SZ,20150402,20150402,20141231,450194963.29,440027677.6
000425.SZ,20150330,20150330,20141231,737667588.58,855305656.53
000426.SZ,20150430,20150430,20141231,-194546349.96,102125836.98
000429.SZ,20150325,20150325,20141231,967241746.79,234514570.92
000511.SZ,20150430,20150430,20141231,68654363.32,42274784.64
000501.SZ,20150304,20150304,20141231,1035161998.32,2327381295.84
000488.SZ,20150327,20150327,20141231,985399735.85,3093185535.33
000503.SZ,20150418,20150418,20141231,-24808052.32,44338329.57
000513.SZ,20150324,20150324,20141231,717393893.55,665519169.35
000517.SZ,20150428,20150428,20141231,-639843823.97,4812528.94
000536.SZ,20150310,20150310,20141231,1457051283.31,153530858.21
000528.SZ,20150331,20150331,20141231,554442986.46,239074316.36
000519.SZ,20150414,20150414,20141231,-198651891.91,100606779.2
000537.SZ,20150207,20150207,20141231,-468866935.44,259897.47
000538.SZ,20150428,20150428,20141231,1586864179.63,180298525.73
000540.SZ,20150217,20150217,20141231,1598977866.87,65440652.9
000539.SZ,20150418,20150418,20141231,8392794644.0,6657922382.0
000541.SZ,20150427,20150427,20141231,305638745.34,85450244.8
000543.SZ,20150321,20150321,20141231,3535502834.69,699435426.42
000550.SZ,20150317,20150317,20141231,4190066410.0,1287649394.0
000552.SZ,20150331,20150331,20141231,21651834.06,419256421.05
000553.SZ,20150312,20150312,20141231,699173855.92,394819264.29
000547.SZ,20150306,20150306,20141231,132479008.04,34411088.64
000555.SZ,20150331,20150331,20141231,503133542.65,36516311.83
000564.SZ,20150428,20150428,20141231,490214566.9,267260869.52
000563.SZ,20150403,20150403,20141231,-300853688.3,4970156.44
000566.SZ,20150425,20150425,20141231,14983199.5,225989631.15
000559.SZ,20150327,20150327,20141231,1358313611.06,525716120.22
000572.SZ,20150328,20150328,20141231,673429170.36,552776445.47
000568.SZ,20150331,20150331,20141231,1307110085.84,164162379.59
000581.SZ,20150423,20150423,20141231,889899654.79,802479615.28
