ts_code,ann_date,f_ann_date,end_date,operate_profit
300442.SZ,20150403,20150403,20121231,82445315.62
300450.SZ,20150424,20150424,20121231,48452938.76
300458.SZ,20150424,20150424,20121231,606733033.99
300459.SZ,20150424,20150424,20121231,57528235.31
300463.SZ,20150511,20150511,20121231,201819328.08
300474.SZ,20150605,20150605,20121231,63193314.81
300476.SZ,20150525,20150525,20121231,85307244.95
300482.SZ,20150610,20150610,20121231,29865953.31
300487.SZ,20150610,20150610,20121231,57573696.54
300496.SZ,20151123,20151123,20121231,59254101.86
300502.SZ,20150601,20150601,20121231,76476592.86
300529.SZ,20151222,20151222,20121231,112929603.02
300558.SZ,20140627,20140627,20121231,100826376.47
300568.SZ,20150306,20150306,20121231,46356987.89
300570.SZ,20140613,20140613,20121231,53325152.59
300573.SZ,20150206,20150206,20121231,50000043.89
300595.SZ,20150703,20150703,20121231,34858552.12
300601.SZ,20150619,20150619,20121231,-28273781.43
300604.SZ,20151225,20151225,20121231,3170653.65
300618.SZ,20150626,20150626,20121231,13695405.49
300623.SZ,20150703,20150703,20121231,66709449.35
300627.SZ,20151113,20151113,20121231,4044363.95
300628.SZ,20151113,20151113,20121231,94041840.8
300630.SZ,20151113,20151113,20121231,19147466.98
300661.SZ,20151113,20151113,20121231,48843281.48
300676.SZ,20151218,20151218,20121231,104382165.9
300682.SZ,20141205,20141205,20121231,62376300.0
300699.SZ,20151113,20151113,20121231,85335622.3
300748.SZ,20130323,20130323,20121231,
300765.SZ,20130710,20130710,20121231,
300769.SZ,20141017,20141017,20121231,-2724079.17
300832.SZ,20140717,20140717,20121231,85557464.39
300999.SZ,20131205,20131205,20121231,
600023.SH,20130410,20130410,20121231,5412618533.05
600032.SH,20161028,20161028,20121231,
600831.SH,20130315,20130315,20121231,147660102.31
600835.SH,20130328,20130328,20121231,1499536126.01
600837.SH,20130327,20130327,20121231,3986787461.53
600839.SH,20130419,20130419,20121231,-55048884.58
600845.SH,20130326,20130326,20121231,257910823.13
600848.SH,20130329,20130329,20121231,-18246832.28
600850.SH,20130319,20130319,20121231,232464415.07
600851.SH,20130423,20130423,20121231,67269014.54
600859.SH,20130323,20130323,20121231,906337549.22
600862.SH,20130329,20130329,20121231,98697571.33
600863.SH,20130408,20130408,20121231,2324337977.7
600864.SH,20130315,20130315,20121231,345679779.2
600867.SH,20130418,20130418,20121231,48954697.53
600869.SH,20130426,20130426,20121231,-174951965.28
600871.SH,20130326,20130326,20121231,-561987000.0
600872.SH,20130426,20130426,20121231,117736589.57
600873.SH,20130418,20130418,20121231,696287234.91
600874.SH,20130329,20130329,20121231,351667000.0
600875.SH,20130328,20130328,20121231,2482215251.52
600879.SH,20130201,20130201,20121231,220519915.46
600880.SH,20130126,20130126,20121231,370595021.26
600881.SH,20130417,20130417,20121231,277612844.93
600884.SH,20130323,20130323,20121231,156963297.57
600908.SH,20151222,20151222,20121231,1122981000.0
600927.SH,20130430,20130430,20121231,
600977.SH,20150626,20150626,20121231,704872316.86
600996.SH,20150403,20150403,20121231,25916100.0
601019.SH,20151211,20151211,20121231,438777900.0
601021.SH,20141211,20141211,20121231,309157119.0
601068.SH,20150716,20150716,20121231,1373772389.44
601127.SH,20150414,20150414,20121231,388135700.0
601155.SH,20150922,20150922,20121231,2136893487.0
601156.SH,20130327,20130327,20121231,
601212.SH,20150625,20150625,20121231,211949658.78
601226.SH,20141114,20141114,20121231,351888069.64
601228.SH,20161108,20161108,20121231,1030126727.51
601298.SH,20160316,20160316,20121231,1518489052.0
601319.SH,20130429,20130429,20121231,12749000000.0
601512.SH,20140504,20140504,20121231,1015444961.41
601611.SH,20150522,20150522,20121231,629688499.15
603026.SH,20150511,20150511,20121231,149937177.03
603127.SH,20150612,20150612,20121231,-1889847.99
603160.SH,20140506,20140506,20121231,268333400.48
603169.SH,20140916,20140916,20121231,75228307.45
603179.SH,20150508,20150508,20121231,38022612.34
603188.SH,20140820,20140820,20121231,151028668.06
603198.SH,20150511,20150511,20121231,635853280.95
603218.SH,20141114,20141114,20121231,92783163.61
603225.SH,20150703,20150703,20121231,219641504.77
603228.SH,20141121,20141121,20121231,201344075.97
603233.SH,20151204,20151204,20121231,241268351.86
603260.SH,20160108,20160108,20121231,28955245.34
603298.SH,20141011,20141011,20121231,290975804.58
603317.SH,20150416,20150416,20121231,145079802.45
603338.SH,20150304,20150304,20121231,65689365.68
603345.SH,20140620,20140620,20121231,120682352.56
603355.SH,20150424,20150424,20121231,375820086.11
603369.SH,20140611,20140611,20121231,907403654.47
603377.SH,20160120,20160120,20121231,257536897.92
603444.SH,20151123,20151123,20121231,170210885.62
603501.SH,20150619,20150619,20121231,102348048.98
603515.SH,20150629,20150629,20121231,366584948.64
