ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
001221.SZ,20250711,20250711.0,20250331,1.0,1.0,1.0,360000000.0,128056524.22,1287046472.69,87018535.01,,971472999.0,,18524687.66,158994628.79,5770661.58,11384148.41,,,144120105.15,,,,,,,,,22588159.05,1332855389.64,,,,,,,,765593623.49,100383847.5,,,,,243269283.64,,,2305957.65,19618524.54,,158881122.69,1325906730.89,,,,,,,,,,,,,,,,,2658762120.53,,256892710.23,,,,,6000745.25,305399565.27,9298620.96,,,32483085.02,38400193.18,,,48837812.11,,,,,,,,12465579.03,3486003.3,746117113.78,,,,,21372274.09,,,50677920.53,,,,,,,,,,,,,,,,,796795034.31,,,,,,1861967086.22,1861967086.22,2658762120.53,,-154445.7,,,,,,,,,,,,32852799.43,177519316.45,311400310.52,5770661.58,765593623.49,100383847.5,48837812.11,,,,1.0
600930.SH,20250627,20250627.0,20250331,1.0,1.0,1.0,36000000000.0,12130949196.0,37390346353.0,1804156519.0,346588520.0,13802831520.0,,464377452.0,48558302212.0,,313511367.0,,,86874301.0,,,,,,,,,4300319011.0,68685413940.0,,,14300279636.0,40616551.0,,,,216428081255.0,79284991541.0,1017823217.0,3364399.0,,,6148969284.0,,723920138.0,579532590.0,609623475.0,,38990065624.0,390776083545.0,,,,,,,,,,,,,,,,,459461497485.0,190824335857.0,40734627017.0,,,,,,24592362298.0,126944958.0,,,48588389.0,833214313.0,,,,,,,,,,,31298326374.0,303530598.0,106474748791.0,2000000000.0,,,,695200064.0,89971463.0,115940145.0,229527477861.0,,,,,,,,,,,,,,,,,336002226652.0,,,,,14987064012.0,108472206821.0,123459270833.0,459461497485.0,,-39443672.0,20839609905.0,,,,,,,,,,,7878652.0,49022679664.0,24592362298.0,1154726907.0,216431445654.0,80302814758.0,8529276192.0,9821571922.0,,,0.0
603049.SH,20250515,20250515.0,20250331,1.0,1.0,1.0,787037038.0,6025237235.26,11281104561.13,393580519.0,,3651790117.82,22091674.95,1606929511.76,6951245419.06,,438550906.72,,,9376781118.97,,,,,,,,,322233954.2,22827964673.42,,,,,,,,,,,,,,1355162192.43,,71515246.1,90554835.97,71436925.32,,1215578144.84,23786923025.38,,,,,,,,,,,,,,,,,46614887698.8,4033350000.0,6635015829.41,,,,,1518009000.0,8610904317.62,,,,237895148.88,337176187.59,,,,,,,,,,,2576518015.57,2220865495.41,23190088272.01,,,,223834634.89,893458.41,388300830.65,251161646.74,4771959747.32,,,,,,,,,,,,,,,,,27962048019.33,,,,,780148.59,18652059530.88,18652839679.47,46614887698.8,,165100177.49,,,,,,,210130266.94,,,,97134852.46,461622100.19,8558174930.82,10128913317.62,90432424.4,17617991002.49,2979144957.11,592082177.34,,,,0.0
688235.SH,20250514,,20250331,,,,,,,,,12829501000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42126494000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16920380000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688981.SH,20250509,,20250331,,,,,,,,,36042919000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344161271000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112929820000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688347.SH,20250509,20250509.0,20250331,1.0,1.0,1.0,1725654069.0,5799109921.14,1549907543.73,1740327525.46,,29720961129.09,,356429796.96,1740111204.01,,37385288.37,,,4950500363.46,,,,,,,,,2678617589.56,39593169875.67,,,544182690.97,510872204.28,,,,,,,,,,622599795.54,,,151122.2,151408176.09,,416259342.35,47295864738.11,,,,,,,,,,,,,,,,,86889034613.78,13986068821.97,,,,,,,1905536431.47,17194219.47,,,269966114.9,167575168.88,,235925.33,,,,,,,,,2422754087.3,510345542.47,10344188781.88,,,,,10750537.11,,,14105640895.16,,,,,,,,,,,,,,,,,24449829677.04,,,,,18717045497.36,43722159439.38,62439204936.74,86889034613.78,,567644363.5,,,,,,,,,,,,806836051.65,2096541000.97,1905536431.47,109164504.22,30147661286.82,12688487480.59,4243981165.74,,,,1.0
600823.SH,20250501,,20250331,,,,,,,,,1781899810.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75375873881.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77279049723.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000046.SZ,20250501,,20250331,,,,,,,,,1258150015.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52440690769.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96957127717.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600894.SH,20250430,,20250331,,,,,,,,,3921149266.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14324748153.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5127817723.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600956.SH,20250430,,20250331,,,,,,,,,4677704301.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86183887415.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57541795533.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
