ts_code,end_date,c_fr_sale_sg,c_pay_acq_const_fiolta
000001.SZ,20061231,,249983343.0
000675.SZ,20061231,,
000978.SZ,20061231,335844730.7,38295410.96
300318.SZ,20061231,27596640.94,25104722.8
600000.SH,20061231,,795333777.59
600015.SH,20061231,,603686901.87
600016.SH,20061231,,961479000.0
600166.SH,20061231,16537284340.19,370888579.92
600205.SH,20061231,5862559632.72,503223090.83
600296.SH,20061231,4006555692.5,2236991821.32
601166.SH,20061231,,1062337761.31
601988.SH,20061231,,7425000000.0
000001.SZ,20060930,,63568691.0
000004.SZ,20060930,22663485.57,1541825.29
000015.SZ,20060930,,
000033.SZ,20060930,57025657.84,45896048.16
000047.SZ,20060930,,
000425.SZ,20060930,1960400186.72,33918841.82
000549.SZ,20060930,4111007236.62,291412210.74
000556.SZ,20060930,,
000562.SZ,20060930,,6880720.91
000588.SZ,20060930,,
000606.SZ,20060930,162940833.4,42328557.73
000621.SZ,20060930,,
000658.SZ,20060930,180138.0,
000660.SZ,20060930,46719281.42,68960.28
000689.SZ,20060930,,
000699.SZ,20060930,97450117.15,25520.0
000708.SZ,20060930,4142625095.0,43695824.0
000880.SZ,20060930,,
000908.SZ,20060930,176932779.37,1259929.0
000931.SZ,20060930,337505141.28,25497832.33
001267.SZ,20060930,1207500.0,
600000.SH,20060930,,317658675.25
600016.SH,20060930,,570709000.0
600018.SH,20060930,8744457649.64,4410326351.55
600028.SH,20060930,901199000000.0,46523000000.0
600036.SH,20060930,,
600118.SH,20060930,236955283.02,6207339.95
600181.SH,20060930,61917819.65,10711534.49
600205.SH,20060930,4496102797.65,383866202.52
600286.SH,20060930,178222145.37,345578.46
600296.SH,20060930,3640448504.4,1339467996.59
600614.SH,20060930,160161480.04,1687529.8
600625.SH,20060930,,
600629.SH,20060930,26977425.32,1750069.2
600669.SH,20060930,213459.63,
600700.SH,20060930,140982221.8,1336381.59
600771.SH,20060930,519369061.0,11688663.0
600806.SH,20060930,512949921.37,47425398.44
600813.SH,20060930,2135531.99,
600840.SH,20060930,777770526.95,1145676.38
600988.SH,20060930,2900536.93,
601168.SH,20060930,5551994833.34,1255881117.84
000001.SZ,20060630,,97693239.0
000004.SZ,20060630,16110560.71,1192621.29
000015.SZ,20060630,,
000038.SZ,20060630,102767.0,
000047.SZ,20060630,,
000548.SZ,20060630,97747868.51,37503459.22
000549.SZ,20060630,2615147989.56,184560284.96
000556.SZ,20060630,,
000588.SZ,20060630,,
000621.SZ,20060630,,
000653.SZ,20060630,,
000658.SZ,20060630,105546.0,
000660.SZ,20060630,37692720.02,60156.86
000683.SZ,20060630,366091067.79,10116443.74
000689.SZ,20060630,,
000699.SZ,20060630,68388622.56,
000708.SZ,20060630,2716903181.0,23412640.0
000827.SZ,20060630,1282000.0,
000978.SZ,20060630,130924814.45,24191359.47
001267.SZ,20060630,765000.0,
002104.SZ,20060630,143354151.66,62638134.34
002181.SZ,20060630,291842966.89,56646447.26
002463.SZ,20060630,924302910.0,160178882.0
600000.SH,20060630,,259989018.48
600015.SH,20060630,,254317576.92
600017.SH,20060630,308865262.88,183398157.49
600036.SH,20060630,,
600139.SH,20060630,18076002.76,15530.0
600181.SH,20060630,42361454.5,7484396.65
600205.SH,20060630,2988478039.79,172307295.81
600278.SH,20060630,3135880193.75,14996923.69
600286.SH,20060630,111990300.56,264248.59
600296.SH,20060630,2318728818.62,735102437.07
600321.SH,20060630,216971040.28,24929154.69
600586.SH,20060630,365841639.14,58070031.36
600614.SH,20060630,136014315.8,1225785.49
600625.SH,20060630,13454687.68,266875.0
600669.SH,20060630,191526.19,
600700.SH,20060630,88194534.04,855062.59
600775.SH,20060630,480295005.21,13359239.3
600797.SH,20060630,2256156200.3,150999746.93
600806.SH,20060630,329586509.34,18639719.49
600813.SH,20060630,940000.0,
600876.SH,20060630,352471000.0,40486000.0
600988.SH,20060630,188249.43,
601118.SH,20060630,1117673000.0,493419000.0
601166.SH,20060630,,253987295.59
601333.SH,20060630,1771760961.74,1173632518.31
601398.SH,20060630,,1027000000.0
601666.SH,20060630,4584124634.0,670837076.0
601916.SH,20060630,,33202894.0
688981.SH,20060630,,
000001.SZ,20060331,,36254981.0
000009.SZ,20060331,508317427.11,13026433.95
000015.SZ,20060331,,
000033.SZ,20060331,18779844.94,4409641.11
000047.SZ,20060331,,
000406.SZ,20060331,415093799.18,14374927.8
000425.SZ,20060331,438916802.73,6575390.23
000506.SZ,20060331,,
000544.SZ,20060331,122736409.88,655803.45
000556.SZ,20060331,,
000562.SZ,20060331,,2029256.94
000588.SZ,20060331,,
000590.SZ,20060331,55588538.93,1117352.25
000607.SZ,20060331,543981668.96,41379935.2
000620.SZ,20060331,1511526.0,
000621.SZ,20060331,,
000658.SZ,20060331,99688.2,
000660.SZ,20060331,18032118.82,25900.0
000683.SZ,20060331,138602623.1,2254970.71
000689.SZ,20060331,,
000699.SZ,20060331,,
000708.SZ,20060331,1304499679.0,12857986.0
000728.SZ,20060331,287071399.0,2960400.0
000796.SZ,20060331,269608700.45,1930483.95
000827.SZ,20060331,1082000.0,
000832.SZ,20060331,,
000866.SZ,20060331,11082402164.71,465706978.7
000908.SZ,20060331,66864103.62,384719.4
000931.SZ,20060331,120203966.74,21176925.51
000939.SZ,20060331,256905431.06,32687025.2
000956.SZ,20060331,489729989.98,108000000.0
000987.SZ,20060331,602221294.55,921396.0
001267.SZ,20060331,322500.0,
002021.SZ,20060331,218700872.57,6912562.05
600004.SH,20060331,526804356.55,24570590.39
600016.SH,20060331,,199578000.0
600018.SH,20060331,2577069439.04,693800949.98
600028.SH,20060331,264094000000.0,14943000000.0
600036.SH,20060331,,
600085.SH,20060331,515968984.92,32088216.62
600118.SH,20060331,12546496.32,482362.64
600128.SH,20060331,509910145.71,53850458.73
600139.SH,20060331,9147665.35,15530.0
600195.SH,20060331,231257594.02,54154787.36
600205.SH,20060331,1457858642.43,61552232.02
600223.SH,20060331,497475447.79,2646586.89
600286.SH,20060331,48770995.98,
600296.SH,20060331,872290931.11,315321299.26
600322.SH,20060331,276326092.4,135981.32
600415.SH,20060331,,
600478.SH,20060331,120104169.26,633496.21
600481.SH,20060331,120060697.29,87095228.63
600515.SH,20060331,95751360.48,20160.0
600568.SH,20060331,351404628.19,10694160.11
600586.SH,20060331,185311496.47,13167265.97
600614.SH,20060331,61223565.87,210482.0
600625.SH,20060331,,
600629.SH,20060331,8036620.43,79443.1
600653.SH,20060331,537117334.72,17304619.39
600669.SH,20060331,25098.39,
600700.SH,20060331,44353359.67,527494.6
600709.SH,20060331,,
600757.SH,20060331,764900626.05,20055447.4
600762.SH,20060331,,
600773.SH,20060331,3391161.68,326210.0
600775.SH,20060331,217519896.19,10679436.46
600796.SH,20060331,72098723.85,21134643.71
