ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
874289.BJ,20250116,20250116,20241231,1,1,239758123.8,239758123.8,34314670.03,98902646.03,99143272.53,87189626.17,1.84
873044.BJ,20250125,20250125,20241231,1,1,358416925.43,358416925.43,195912822.97,64219526.83,64197452.3,58801791.45,0.93
300708.SZ,20250125,20250125,20241231,1,1,2759555124.38,2759555124.38,2381617021.6,214119605.95,211633158.98,195593118.26,0.3
300803.SZ,20250125,20250125,20241231,1,1,1211411921.0,1528741505.0,173365979.0,102872133.0,101226705.0,104186622.0,0.25
834549.BJ,20250125,20250125,20241231,1,1,801250840.6,801250840.6,557677205.13,200592078.08,200615939.31,174487452.91,0.294
874047.BJ,20250207,20250207,20241231,1,1,335261460.63,335261460.63,186059754.97,66148040.74,66099431.05,56095039.37,0.93
873827.BJ,20250208,20250208,20241231,1,1,2895021055.21,2895021055.21,2737997498.71,76106996.5,73572499.43,72989298.49,0.37
874105.BJ,20250208,20250208,20241231,1,1,691638656.53,691638656.53,531687364.9,95449822.01,94689199.17,80610738.39,1.59
874085.BJ,20250211,20250211,20241231,1,1,1239481502.14,1239481502.14,893205802.47,240326941.08,240246605.12,210941127.56,2.1525
688981.SH,20250212,20250212,20241231,1,1,57745538740.4,57745538740.4,,5094119582.8,6107428607.2,5180328226.4,
301173.SZ,20250212,20250212,20241231,1,1,2406409749.14,2406409749.14,1969416778.9,220436442.22,219329771.91,170797007.1,2.5865
688981.SH,20250212,20250212,20241231,1,1,57795570000.0,57795570000.0,,6298647000.0,6292022000.0,,
603409.SH,20250213,20250213,20241231,1,1,1074909915.7,1074909915.7,759278165.07,193473136.06,193466724.44,168419114.8,1.78
831204.BJ,20250213,20250213,20241231,1,1,1074909915.7,1074909915.7,759278165.07,193473136.06,193466724.44,168419114.8,1.78
301557.SZ,20250214,20250214,20241231,1,1,1050175741.35,1050175741.35,778971814.25,129758326.42,127747811.62,105231388.57,3.17
603535.SH,20250220,20250220,20241231,1,1,1345848934.99,1345848934.99,903554155.61,230262732.23,225919066.87,205053566.99,0.59
301275.SZ,20250220,20250220,20241231,1,1,4486291714.31,4486291714.31,2925052526.3,826669613.98,826413629.8,710233424.74,1.87
870355.BJ,20250220,20250220,20241231,1,1,1480761448.19,1480761448.19,1253880981.09,91905883.1,91413114.62,80070056.31,0.75
603271.SH,20250220,20250220,20241231,1,1,8111357795.24,8111357795.24,7403195952.88,323018864.37,319190634.66,319444947.24,2.17
301275.SZ,20250220,20250220,20241231,1,1,4486291714.31,4486291714.31,2925052526.3,826669613.98,826413629.8,710233424.74,1.87
301479.SZ,20250221,20250221,20241231,1,1,1091928640.18,1091928640.18,767019957.94,184900031.18,184210462.84,165216968.4,3.47
603271.SH,20250220,20250220,20241231,1,1,8111357795.24,8111357795.24,7403195952.88,323018864.37,319190634.66,319444947.24,2.17
