ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,n_cashflow_act,c_pay_acq_const_fiolta
600803.SH,20170831,20170831,20170630,1,1,2,395976073.58,393575719.88
601866.SH,20170831,20170831,20170630,1,1,2,3387127076.81,8972894059.62
600027.SH,20170831,20170831,20170630,1,1,2,5971590000.0,6379756000.0
600004.SH,20170831,20170831,20170630,1,1,2,1607753054.48,1454659886.37
300748.SZ,20170831,20170831,20170630,1,1,2,-21921005.09,35926558.19
688819.SH,20170831,20170831,20170630,1,1,2,690829683.78,334322412.19
688516.SH,20170831,20170831,20170630,1,1,2,-66450546.27,12583845.72
603659.SH,20170831,20170831,20170630,1,1,2,-11756950.24,76808873.49
603077.SH,20170831,20170831,20170630,1,1,2,-343483410.98,222664978.43
603000.SH,20170831,20170831,20170630,1,1,2,-10446303.69,38875681.06
601969.SH,20170831,20170831,20170630,1,1,2,209143451.27,124217682.68
601919.SH,20170831,20170831,20170630,1,1,2,1781780356.31,5575059235.75
601877.SH,20170831,20170831,20170630,1,1,2,812414521.9,2108669044.8
601801.SH,20170831,20170831,20170630,1,1,2,-111686494.0,168034861.59
601727.SH,20170831,20170831,20170630,1,1,2,-7237521000.0,416056000.0
600073.SH,20170831,20170831,20170630,1,1,2,236419936.28,85258028.69
600096.SH,20170831,20170831,20170630,1,1,2,324016126.02,207392489.82
600098.SH,20170831,20170831,20170630,1,1,2,665916090.65,285887988.39
600158.SH,20170831,20170831,20170630,1,1,2,128601949.99,6698137.25
601200.SH,20170831,20170831,20170630,1,1,2,447432136.5,424942358.61
601179.SH,20170831,20170831,20170630,1,1,2,-177974007.95,243191312.76
600515.SH,20170831,20170831,20170630,1,1,2,2725341721.11,580039895.41
600500.SH,20170831,20170831,20170630,1,1,2,-840542477.81,948586711.23
600485.SH,20170831,20170831,20170630,1,1,2,-487309564.01,3015926.48
600428.SH,20170831,20170831,20170630,1,1,2,463443135.99,471860871.25
600418.SH,20170831,20170831,20170630,1,1,2,-3885998378.41,355513545.06
600038.SH,20170831,20170831,20170630,1,1,2,439846737.1,45026994.31
600039.SH,20170831,20170831,20170630,1,1,2,-1045174355.75,1169412184.23
600068.SH,20170831,20170831,20170630,1,1,2,-2345008624.98,2083404917.2
