ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,n_cashflow_act,c_pay_acq_const_fiolta
002174.SZ,20190831,20190831,20190630,1,1,2,64188501.7,134141824.62
000876.SZ,20190831,20190831,20190630,1,1,2,543684173.94,2809336078.23
601010.SH,20190831,20190831,20190630,1,1,2,234042086.59,63122191.72
002304.SZ,20190831,20190831,20190630,1,1,2,-510063762.35,115765400.42
002308.SZ,20190831,20190831,20190630,1,1,2,-9313970.66,11539325.25
600875.SH,20190831,20190831,20190630,1,1,2,-3249813611.86,108492508.79
600728.SH,20190831,20190831,20190630,1,1,2,-570319429.79,20050660.76
000951.SZ,20190831,20190831,20190630,1,1,2,2155248425.03,113695462.05
600487.SH,20190831,20190831,20190630,1,1,2,-1164271817.75,1740094310.84
000825.SZ,20190831,20190831,20190630,1,1,2,1870454134.98,535813965.95
000839.SZ,20190831,20190831,20190630,1,1,2,-191550782.94,67123267.05
601919.SH,20190831,20190831,20190630,1,1,2,9466838760.54,6262319048.2
000858.SZ,20190831,20190831,20190630,1,1,2,8365812629.04,1292470007.83
000861.SZ,20190831,20190831,20190630,1,1,2,320177221.79,133050350.19
600406.SH,20190831,20190831,20190630,1,1,2,94970479.59,2070495044.42
600500.SH,20190831,20190831,20190630,1,1,2,-738971097.82,1743501270.7
600939.SH,20190831,20190831,20190630,1,1,2,83994045.06,23595672.92
000898.SZ,20190831,20190831,20190630,1,1,2,3765000000.0,1727000000.0
000917.SZ,20190831,20190831,20190630,1,1,2,39841785.32,219318194.84
000930.SZ,20190831,20190831,20190630,1,1,2,1519394675.72,380508302.83
601888.SH,20190831,20190831,20190630,1,1,2,2476330764.59,955487112.11
600978.SH,20190831,20190831,20190630,1,1,2,37597456.58,222672756.92
000939.SZ,20190831,20190831,20190630,1,1,2,41946341.67,57974068.14
000960.SZ,20190831,20190831,20190630,1,1,2,991220204.28,759661404.06
000806.SZ,20190831,20190831,20190630,1,1,2,-27566204.96,5454742.28
000800.SZ,20190831,20190831,20190630,1,1,2,-529167997.85,337460566.99
000792.SZ,20190831,20190831,20190630,1,1,2,2310751821.32,411588667.47
000685.SZ,20190831,20190831,20190630,1,1,2,155830614.03,432141638.94
601019.SH,20190831,20190831,20190630,1,1,2,56436013.56,185463211.32
601258.SH,20190831,20190831,20190630,1,1,2,-2112658585.0,249701581.0
600900.SH,20190831,20190831,20190630,1,1,2,13828006521.28,1318744817.64
600177.SH,20190831,20190831,20190630,1,1,2,2123104601.0,297681802.13
600166.SH,20190831,20190831,20190630,1,1,2,2083789146.83,849015269.05
600158.SH,20190831,20190831,20190630,1,1,2,-116089833.77,5145694.15
600170.SH,20190831,20190831,20190630,1,1,2,-12792842903.6,1012094082.63
600115.SH,20190831,20190831,20190630,1,1,2,12751000000.0,9199000000.0
600112.SH,20190831,20190831,20190630,1,1,2,22864830.7,3369507.12
600098.SH,20190831,20190831,20190630,1,1,2,1266615827.06,612635138.54
000021.SZ,20190831,20190831,20190630,1,1,2,262323739.07,354148804.24
600068.SH,20190831,20190831,20190630,1,1,2,1738180005.31,3959595027.54
600058.SH,20190831,20190831,20190630,1,1,2,2010213186.0,24253413.7
600039.SH,20190831,20190831,20190630,1,1,2,-209010280.03,1767979886.46
600004.SH,20190831,20190831,20190630,1,1,2,1406004570.62,575968028.73
600751.SH,20190831,20190831,20190630,1,1,2,4734488000.0,547714000.0
000969.SZ,20190831,20190831,20190630,1,1,2,254282047.76,38260322.98
600754.SH,20190831,20190831,20190630,1,1,2,649190259.58,534764497.47
600783.SH,20190831,20190831,20190630,1,1,2,-103661820.41,4171303.0
600745.SH,20190831,20190831,20190630,1,1,2,1166276065.32,167764002.5
600739.SH,20190831,20190831,20190630,1,1,2,150375619.75,232193266.03
000732.SZ,20190831,20190831,20190630,1,1,2,20216079554.94,423023415.32
000729.SZ,20190831,20190831,20190630,1,1,2,1368026316.8,332159630.93
601866.SH,20190831,20190831,20190630,1,1,2,2990973518.39,11051086290.54
002266.SZ,20190831,20190831,20190630,1,1,2,-131020103.79,86003512.37
600179.SH,20190831,20190831,20190630,1,1,2,-14430354.8,1045948296.84
601186.SH,20190831,20190831,20190630,1,1,2,-32471913000.0,13117148000.0
601118.SH,20190831,20190831,20190630,1,1,2,144793363.34,316928270.06
601991.SH,20190831,20190831,20190630,1,1,2,9982204000.0,2702982000.0
000627.SZ,20190831,20190831,20190630,1,1,2,22656379467.98,78892838.52
600188.SH,20190831,20190831,20190630,1,1,2,11920967000.0,5844323000.0
000651.SZ,20190831,20190831,20190630,1,1,2,16456067246.95,1798684915.51
002408.SZ,20190831,20190831,20190630,1,1,2,253552311.32,207421348.22
601238.SH,20190831,20190831,20190630,1,1,2,-3366111714.0,5584521192.0
600567.SH,20190831,20190831,20190630,1,1,2,547896652.66,1477591088.5
603885.SH,20190831,20190831,20190630,1,1,2,782442109.4,2220316020.25
001696.SZ,20190831,20190831,20190630,1,1,2,482855902.67,50007821.93
600827.SH,20190831,20190831,20190630,1,1,2,1261884740.34,518723177.25
001872.SZ,20190831,20190831,20190630,1,1,2,2556861915.52,1557516143.2
601800.SH,20190831,20190831,20190630,1,1,2,-39766551173.0,24578737748.0
002024.SZ,20190831,20190831,20190630,1,1,2,-10267957000.0,5853578000.0
601727.SH,20190831,20190831,20190630,1,1,2,-9992835000.0,1606840000.0
600320.SH,20190831,20190831,20190630,1,1,2,60820514.0,1663020941.0
600811.SH,20190831,20190831,20190630,1,1,2,2952080526.78,174923241.79
600300.SH,20190831,20190831,20190630,1,1,2,-276916481.38,81967083.15
600240.SH,20190831,20190831,20190630,1,1,2,-8760155.78,9050.0
600587.SH,20190831,20190831,20190630,1,1,2,278034567.93,175350993.03
