ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
688981.SH,20251114,20251114,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,12287551000.0,,,,,,,42199340000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688235.SH,20251113,20251113,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4281906000.0,,,,,,,1082152000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688347.SH,20251107,20251107,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2974191123.6,,,,,,,8456619965.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000046.SZ,20251101,20251101,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,7348353.2,,,,,,,39657722.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600823.SH,20251101,20251101,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,310765196.01,,,,,,,37965364.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600169.SH,20251101,20251101,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,534089845.27,,,,,,,582959055.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600329.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,590329947.27,,,,,,,62879230.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688220.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-290071728.98,,,,,,,74203834.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601800.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65790413885.0,,,,,,,20587844181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688192.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-424056847.98,,,,,,,149943303.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601811.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,870333335.85,,,,,,,98251720.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688187.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116958001.0,,,,,,,3128216161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601828.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,642876368.02,,,,,,,202675957.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688172.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-156065981.15,,,,,,,7664721090.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688169.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1059785772.0,,,,,,,390109448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688166.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,98954861.81,,,,,,,363386304.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601858.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,94440457.46,,,,,,,23126217.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688126.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-827387147.35,,,,,,,3160968134.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601866.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2632651830.66,,,,,,,4388540049.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688120.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,424493634.92,,,,,,,181550992.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601868.SH,20251031,20251031,20250930,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9110250000.0,,,,,,,32264824000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
