ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,comp_type,report_type,end_type
300082.SZ,20190430,20190430,20181231,720208392.56,28504009.58,,,
600827.SH,20190430,20190430,20181231,1798988205.83,1340301646.44,,,
000020.SZ,20190430,20190430,20181231,-21894459.66,15063404.44,,,
002356.SZ,20190430,20190430,20181231,-379539197.93,69757291.07,,,
002696.SZ,20190430,20190430,20181231,91955431.64,82942036.81,,,
002235.SZ,20190430,20190430,20181231,-137740785.49,15380365.97,,,
603555.SH,20190430,20190430,20181231,559482271.76,257125479.19,1,1,4
000923.SZ,20190430,20190430,20181231,610931646.41,718640998.4,,,
002617.SZ,20190430,20190430,20181231,137263762.93,57914651.91,,,
600793.SH,20190430,20190430,20181231,142718075.83,388615274.32,,,
000605.SZ,20190430,20190430,20181231,-60015587.91,316477404.45,,,
000812.SZ,20190430,20190430,20181231,136231555.33,246291735.23,,,
600189.SH,20190430,20190430,20181231,191343740.66,64666379.69,,,
600210.SH,20190430,20190430,20181231,997989536.41,312898501.93,,,
300247.SZ,20190430,20190430,20181231,5556981.71,28930974.67,,,
000980.SZ,20190430,20190430,20181231,-2313504406.38,1042941663.33,,,
600769.SH,20190430,20190430,20181231,4389749.49,9906397.07,,,
002589.SZ,20190430,20190430,20181231,-169414942.45,604315980.6,,,
000801.SZ,20190430,20190430,20181231,79904104.3,39035301.74,,,
600654.SH,20190430,20190430,20181231,46894725.98,35677028.8,,,
002102.SZ,20190430,20190430,20181231,178990152.49,150351330.03,,,
002857.SZ,20190430,20190430,20181231,30930553.69,27376778.79,,,
002640.SZ,20190430,20190430,20181231,182580449.87,316582778.26,,,
603111.SH,20190430,20190430,20181231,-330332811.84,144148729.65,,,
000066.SZ,20190430,20190430,20181231,44859987.74,825185656.51,,,
002286.SZ,20190430,20190430,20181231,133050032.33,173707569.91,,,
002364.SZ,20190430,20190430,20181231,93963394.54,49858798.55,,,
002290.SZ,20190430,20190430,20181231,-83966839.71,11558005.6,,,
600586.SH,20190430,20190430,20181231,617675714.97,84688640.92,,,
603188.SH,20190430,20190430,20181231,579048959.75,89262603.68,,,
002899.SZ,20190430,20190430,20181231,30247146.87,75948431.47,,,
000058.SZ,20190430,20190430,20181231,167674153.73,181573556.23,,,
000930.SZ,20190430,20190430,20181231,-923311085.25,868350201.13,,,
000523.SZ,20190430,20190430,20181231,-475722581.1,9268071.55,,,
000408.SZ,20190430,20191024,20181231,888042780.1,283170267.08,,,
002130.SZ,20190430,20190430,20181231,565714119.82,250199099.14,,,
600060.SH,20190430,20190430,20181231,-87138040.21,367008040.24,,,
002259.SZ,20190430,20190430,20181231,-41765657.24,4709249.47,,,
600768.SH,20190430,20190430,20181231,-30276742.57,981851.6,,,
002247.SZ,20190430,20210828,20181231,-598098614.46,71588848.2,,,
600637.SH,20190430,20190430,20181231,2565297794.26,1117462560.48,,,
600595.SH,20190430,20190430,20181231,856736798.23,123789040.05,,,
000692.SZ,20190430,20190430,20181231,-7651665.81,203087061.0,,,
002535.SZ,20190430,20190430,20181231,502091835.46,143001284.29,,,
002354.SZ,20190430,20190430,20181231,275295304.66,146239534.62,,,
000989.SZ,20190430,20200514,20181231,425861442.93,141929828.91,,,
000156.SZ,20190430,20190430,20181231,1194901642.03,932260424.68,,,
600119.SH,20190430,20190430,20181231,190787884.0,15575478.73,,,
000593.SZ,20190430,20190430,20181231,14039895.09,96101626.99,,,
600195.SH,20190430,20190430,20181231,186380649.72,217469941.3,,,
002766.SZ,20190430,20190430,20181231,-1020974311.3,11200282.59,,,
000030.SZ,20190430,20190430,20181231,342085550.7,578829806.93,,,
002074.SZ,20190430,20190430,20181231,-1558639731.02,1925745081.04,,,
603306.SH,20190430,20190430,20181231,346254194.62,209431306.91,,,
600221.SH,20190430,20190430,20181231,9224580000.0,3123440000.0,,,
002375.SZ,20190430,20190430,20181231,-128310289.81,153453549.78,,,
000679.SZ,20190430,20190430,20181231,57430687.03,3682884.9,,,
600929.SH,20190430,20190430,20181231,283059835.08,310289142.95,,,
000520.SZ,20190430,20190430,20181231,186643840.83,301767948.5,,,
600179.SH,20190430,20190430,20181231,817792550.15,520624500.09,,,
