ts_code,ann_date,f_ann_date,end_date,operate_profit
001203.SZ,20140504,20140504,20111231,750858692.96
002665.SZ,20120326,20120326,20111231,132035066.23
002678.SZ,20120511,20120511,20111231,171326205.38
002681.SZ,20120515,20120515,20111231,99841904.5
002690.SZ,20120709,20120709,20111231,130045794.69
002698.SZ,20120824,20120824,20111231,165550037.93
002699.SZ,20120824,20120824,20111231,62114117.77
002701.SZ,20120912,20120912,20111231,385949248.0
002707.SZ,20140102,20140102,20111231,59829585.13
002714.SZ,20140109,20140109,20111231,345034417.63
002727.SZ,20140610,20140610,20111231,156325444.47
002739.SZ,20150106,20150106,20111231,387127888.06
002761.SZ,20140425,20140425,20111231,70096489.56
002773.SZ,20140520,20140520,20111231,178315700.0
002791.SZ,20140425,20140425,20111231,133538813.56
002812.SZ,20140609,20140609,20111231,100810968.61
002815.SZ,20140519,20140519,20111231,151909445.72
002818.SZ,20140429,20140429,20111231,266062393.16
002821.SZ,20140507,20140507,20111231,77175600.0
002831.SZ,20140919,20140919,20111231,212008358.52
002837.SZ,20141024,20141024,20111231,4723599.31
002841.SZ,20141114,20141114,20111231,50264514.49
002850.SZ,20141212,20141212,20111231,29418378.2
002851.SZ,20120221,20120221,20111231,121933342.58
002865.SZ,20140627,20140627,20111231,99247856.86
002867.SZ,20141219,20141219,20111231,259423305.76
002916.SZ,20120427,20120427,20111231,77815946.15
002941.SZ,20130108,20130108,20111231,52240943.64
002948.SZ,20120425,20120425,20111231,965448000.0
002958.SZ,20150910,20150910,20111231,1057909236.69
003816.SZ,20150123,20150123,20111231,5161146027.77
300287.SZ,20120322,20120322,20111231,55928674.86
300291.SZ,20120328,20120328,20111231,108004395.13
300308.SZ,20120316,20120316,20111231,58135526.44
300315.SZ,20120420,20120420,20111231,62664032.65
300316.SZ,20120510,20120510,20111231,313623896.57
300339.SZ,20120629,20120629,20111231,44099475.77
300346.SZ,20120720,20120720,20111231,206627172.67
300347.SZ,20120730,20120730,20111231,55063000.54
300357.SZ,20131231,20131231,20111231,41174581.8
300363.SZ,20140103,20140103,20111231,74731524.06
300373.SZ,20140106,20140106,20111231,64078794.16
300376.SZ,20140107,20140107,20111231,120623154.62
300383.SZ,20140110,20140110,20111231,48428419.99
300390.SZ,20140715,20140715,20111231,32376214.65
300394.SZ,20141218,20141218,20111231,51295100.0
300395.SZ,20140820,20140820,20111231,61557035.13
300408.SZ,20141114,20141114,20111231,488309506.44
300413.SZ,20150106,20150106,20111231,101675054.24
300418.SZ,20150106,20150106,20111231,187103137.05
300432.SZ,20141231,20141231,20111231,47306514.03
300433.SZ,20141226,20141226,20111231,1410388527.0
300438.SZ,20141231,20141231,20111231,47977300.0
300442.SZ,20150403,20150403,20111231,64445045.33
300450.SZ,20141231,20141231,20111231,46164496.26
300458.SZ,20140630,20140630,20111231,53280076.37
300459.SZ,20140627,20140627,20111231,52721533.3
300463.SZ,20140425,20140425,20111231,152735549.84
300474.SZ,20140603,20140603,20111231,56419135.67
300476.SZ,20140418,20140418,20111231,68431483.01
300482.SZ,20140604,20140604,20111231,23075700.0
300487.SZ,20140627,20140627,20111231,55031263.25
300496.SZ,20140506,20140506,20111231,4343931.46
300502.SZ,20140625,20140625,20111231,61321022.55
300529.SZ,20140430,20140430,20111231,86240763.56
300558.SZ,20140627,20140627,20111231,-1062174.0
300567.SZ,20141031,20141031,20111231,12695554.11
300570.SZ,20140613,20140613,20111231,45587689.4
300573.SZ,20150206,20150206,20111231,40920590.38
300623.SZ,20140829,20140829,20111231,71433030.93
300682.SZ,20141205,20141205,20111231,22895100.0
600023.SH,20130410,20130410,20111231,3215458317.04
600602.SH,20120323,20120323,20111231,137358151.78
600606.SH,20120321,20120321,20111231,235011234.36
600611.SH,20120329,20120329,20111231,425458833.36
600612.SH,20120426,20120426,20111231,844571642.84
600614.SH,20120418,20120418,20111231,-6183464.66
600617.SH,20120214,20120214,20111231,-23697047.1
600618.SH,20120323,20120323,20111231,82643750.84
600623.SH,20120330,20120330,20111231,75379507.62
600628.SH,20120417,20120417,20111231,284941815.55
600633.SH,20120406,20120406,20111231,248537094.06
600635.SH,20120418,20120418,20111231,754032097.41
600637.SH,20120410,20120410,20111231,399693472.81
600639.SH,20120323,20120323,20111231,675878683.74
600640.SH,20120421,20120421,20111231,5415382.06
600642.SH,20120327,20120327,20111231,2158971976.11
600643.SH,20120330,20120330,20111231,100050002.85
600645.SH,20120218,20120218,20111231,55038452.96
