ts_code,ann_date,end_date,total_liab,money_cap,total_assets
688472.SH,20231031,20230930,43746342650.67,18794954164.54,64893878075.63
603885.SH,20231031,20230930,34732894189.4,1176655365.93,44261857203.53
000539.SZ,20231031,20230930,120725989807.0,14944306195.0,150804454709.0
601698.SH,20231031,20230930,3868822157.59,5912009070.82,23417336970.23
002414.SZ,20231031,20230930,1790492713.63,1243831652.9,8781007435.54
601865.SH,20231031,20230930,19136773391.8,7586383860.46,41206564896.16
600085.SH,20231031,20230930,9594453591.08,12851844501.89,29512237252.72
000887.SZ,20231031,20230930,10666255308.29,1756746288.19,22484412477.58
601866.SH,20231031,20230930,91797046946.77,9870073422.02,120804437790.04
002325.SZ,20231031,20230930,5264576715.11,59990100.05,8112905769.38
601100.SH,20231031,20230930,4048072953.92,7923283765.34,17716336985.94
603087.SH,20231031,20230930,934593898.55,2093406319.02,10825037574.61
601156.SH,20231031,20230930,12404614866.54,8193958427.67,28432631307.17
002318.SZ,20231031,20230930,4342159178.28,2594811945.69,11458208126.95
601198.SH,20231031,20230930,69620678903.42,11548148103.2,96313121469.35
000403.SZ,20231031,20230930,1115349619.22,782081504.22,8244609207.18
000893.SZ,20231031,20230930,2068997040.18,755631398.96,14516319314.18
002512.SZ,20231031,20230930,3107458175.32,179600554.42,4589553792.53
601162.SH,20231031,20230930,73758491659.01,18486654226.49,98512162417.26
002739.SZ,20231031,20230930,18145190122.31,4198630957.5,26359867242.16
002865.SZ,20231031,20230930,14311484209.67,3127257537.05,19811310312.17
002217.SZ,20231031,20230930,14397793520.16,1189583713.92,17585967434.97
002946.SZ,20231031,20230930,6560664682.74,529264929.44,9309028118.86
002957.SZ,20231031,20230930,2986096360.35,1028477688.87,6130567286.63
000961.SZ,20231031,20230930,256158214624.12,9113523387.83,280576032536.59
002242.SZ,20231031,20230930,3663128078.39,1866264551.5,7144806864.66
002727.SZ,20231031,20230930,8327473716.74,3326159856.0,16321717499.21
002409.SZ,20231031,20230930,3400305348.95,2184852590.71,11936399433.1
002707.SZ,20231031,20230930,2113656663.49,651458770.6,2608631667.87
000623.SZ,20231031,20230930,4829659912.81,1858448147.91,32167765354.95
002174.SZ,20231031,20230930,1475659284.58,1436290762.14,6021967592.35
002518.SZ,20231031,20230930,2749147508.72,1946600360.48,6890780768.4
301269.SZ,20231031,20230930,583720234.33,2767597549.89,5332803465.61
603005.SH,20231031,20230930,781137281.8,2599705352.37,4850197612.26
601886.SH,20231031,20230930,19350269605.43,3219311558.71,27441396910.52
601869.SH,20231031,20230930,14866112405.0,4173658219.0,29640189577.0
601811.SH,20231031,20230930,9270189748.42,8220424492.44,22623618464.5
600732.SH,20231031,20230930,23159526879.26,4881924949.74,33177798080.5
600751.SH,20231031,20230930,2315544000.0,4752130000.0,9760793000.0
600759.SH,20231031,20230930,9071352578.76,141196650.28,13189213890.31
600779.SH,20231031,20230930,3769273213.42,2140363055.75,7915535283.93
600783.SH,20231031,20230930,3827143404.23,482128594.3,8279061319.63
600804.SH,20231031,20230930,6289359889.83,309758521.57,7275715592.83
600827.SH,20231031,20230930,37022032755.91,20438950160.53,57377469034.41
600850.SH,20231031,20230930,5705791640.36,1499742032.37,10125807935.61
600880.SH,20231031,20230930,577835236.27,360049282.65,3820325237.25
600981.SH,20231031,20230930,19978361818.78,3761528258.84,25720575202.82
601010.SH,20231031,20230930,2288399112.06,1171546723.52,6694989746.33
601126.SH,20231031,20230930,4342169534.37,2067373707.72,8423302070.45
601200.SH,20231031,20230930,16485456949.21,986674442.01,29032971810.74
601333.SH,20231031,20230930,10622412860.0,1428856843.0,36959071904.0
601515.SH,20231031,20230930,1661221819.82,2082807365.26,7812172418.73
601727.SH,20231031,20230930,205752970000.0,30524644000.0,287090254000.0
601778.SH,20231031,20230930,25977903230.44,6885171378.69,41720248438.26
002939.SZ,20231031,20230930,86247595452.09,16503404658.17,115147490870.65
002653.SZ,20231031,20230930,2128138693.96,881398150.87,6212976489.68
000617.SZ,20231031,20230930,902431379589.31,39062219056.76,1086729078942.03
600885.SH,20231031,20230930,6526378362.95,1753546596.7,17520467065.23
002267.SZ,20231031,20230930,5826794049.04,821314741.44,12468755933.02
002681.SZ,20231031,20230930,2141515411.54,669144548.04,4500201962.19
000423.SZ,20231031,20230930,2810028624.0,6082998493.81,13186325974.3
002738.SZ,20231031,20230930,3841496181.24,5382383887.45,15910426007.49
603179.SH,20231031,20230930,7511186149.61,1519981748.09,12247004450.57
002269.SZ,20231031,20230930,2547512312.96,85997349.04,2827816211.11
603169.SH,20231031,20230930,9675912054.37,2536694790.31,13154918539.81
002030.SZ,20231031,20230930,1864144034.96,1004545766.32,11310013290.86
002663.SZ,20231031,20230930,2171779437.72,380377321.65,5228084794.88
002317.SZ,20231031,20230930,1860322155.27,1611345350.7,6422045265.53
002276.SZ,20231031,20230930,7662722152.62,2937191493.9,12995917155.4
603939.SH,20231031,20230930,11916049937.44,3499950576.74,21935278533.96
002277.SZ,20231031,20230930,7813164289.39,281428983.02,14760315500.7
600132.SH,20231031,20230930,9015327014.91,4900980743.13,14049739569.56
002131.SZ,20231031,20230930,10042815420.65,3095775122.1,23883396752.16
002851.SZ,20231031,20230930,5163032830.04,539861909.1,9543470056.95
000932.SZ,20231031,20230930,67632661585.28,5400506017.01,130581472604.81
600109.SH,20231031,20230930,73180309021.95,21882544941.08,105593353685.17
