rb_date,next_rb,fixed,old,932368,hs300_price,hs300_tr,div_price,div_tr
2016-06-13,2016-09-12,0.10363,0.1018668917186784,0.08573503051919884,0.0640055952023344,0.08217538275735836,0.0845947944288139,0.11029859763016936
2016-09-12,2016-12-12,0.120377,0.1216701916642623,0.06636325736659754,0.04492579746799197,0.045669711324347606,0.054893510138867896,0.05623479203570936
2016-12-12,2017-03-13,0.042175,0.0373270930584678,0.08052417043971949,0.014349083536055574,0.014422843198560686,0.03845492406585205,0.03845492472094447
2017-03-13,2017-06-12,0.126526,0.1448697529146103,0.13807045389642125,0.03362871728909944,0.037680545825039324,0.0412555696571959,0.050579292023062106
2017-06-12,2017-09-11,0.038262,0.0643991167618636,0.02243394075478755,0.07029337654145906,0.08721568351124298,0.0438281428860583,0.0670790462277917
2017-09-11,2017-12-11,0.083254,0.0485204559543265,0.10354104726642821,0.06374203065820017,0.06425010708033252,0.014455067185968007,0.015063591962475975
2017-12-11,2018-03-12,0.022774,-0.0022607329691108,0.06871078226548955,0.014293280326326041,0.014462106992376933,0.035805197650687015,0.03580520519726371
2018-03-12,2018-06-11,-0.056165,-0.0528218087149986,-0.03795622686435096,-0.0842326833502185,-0.07936770066426957,-0.08446181862685709,-0.07473542639602326
2018-06-11,2018-09-17,-0.070761,-0.0867178417973125,-0.09770759290987996,-0.15213284889361112,-0.13840801262063784,-0.13705234587052706,-0.11539067141331039
2018-09-17,2018-12-17,0.016158,0.0082944144256085,-0.031345890310295665,-0.013643325654312144,-0.013047782255415474,0.014974056776321687,0.017132452818880095
2018-12-17,2019-03-11,0.172595,0.1342837214091169,0.13002842599345654,0.1799185789330533,0.18025175887980227,0.16243336550608056,0.1624333536161935
2019-03-11,2019-06-17,-0.072388,-0.0279960667098147,-0.029607747313639465,-0.02014228269695295,-0.01346899973436444,-0.04540067164509021,-0.027637241661671585
2019-06-17,2019-09-16,0.015013,0.0544080539308505,0.008460108841337188,0.0828741777170825,0.09930242670190514,0.008862764403642531,0.032172420813046276
2019-09-16,2019-12-16,-0.00748,0.0037525508610104,-0.017523437689491272,0.007537429295699338,0.008064948928554028,-0.012540849408230748,-0.010381308198264105
2019-12-16,2020-03-16,-0.070312,-0.0746570659886232,-0.07347693077853279,-0.06512942394852128,-0.06511257678012095,-0.0688189843592043,-0.06881898479786652
2020-03-16,2020-06-15,-0.009893,0.0051631770584855,0.001172342905625623,0.06093301005048546,0.06790308466795825,-0.009420283182746125,0.008628307529032764
2020-06-15,2020-09-14,0.171569,0.1391424372502469,0.14033680757921418,0.17599607058256028,0.19120184624478131,0.12349716016281898,0.15101842370115848
2020-09-14,2020-12-14,-0.005522,-0.0066196619725035,0.03605774483178048,0.0610151379343169,0.06256023884450879,0.0395883265968664,0.04173919882471222
2020-12-14,2021-03-15,0.115264,0.1028674583180668,0.11413324623633447,0.020407753434197762,0.020433488272358913,0.03857865214115619,0.038616106628626135
2021-03-15,2021-06-14,0.004964,0.0031024999494417,0.1786495674749673,0.037564739031875405,0.04177074648373269,0.06037330852415579,0.07431382575572942
2021-06-14,2021-09-13,0.234893,0.2157864541080937,0.22654144658526065,-0.03385229440008197,-0.021766213452420025,0.13065736491848923,0.16073602205878923
2021-09-13,2021-12-13,-0.102198,-0.0928513749875128,-0.1546165672062022,0.018458970300820443,0.01954960066880429,-0.11354260346974676,-0.1114504570761572
2021-12-13,2022-03-14,-0.045398,-0.0289755516180264,-0.007496077730662742,-0.17881169102478778,-0.17881168902482103,-0.02106151327653738,-0.02106152187278454
