year,invested_year,invested_cum,close,asset_cash_mode,profit_cash_mode,return_cash_mode_pct,dividend_year,dividend_cum,asset_reinvest_mode,profit_reinvest_mode,return_reinvest_mode_pct
2020,120000.0,120000.0,1.103,133405.9288,13405.9288,11.1716,5031.7845,5031.7845,133494.1243,13494.1243,11.2451
2021,120000.0,240000.0,1.272,288344.65,48344.65,20.1436,10131.037,15162.8215,289301.471,49301.471,20.5423
2022,120000.0,360000.0,1.215,404335.3364,44335.3364,12.3154,12899.7463,28062.5679,405410.13,45410.13,12.6139
2023,120000.0,480000.0,1.222,543602.5175,63602.5175,13.2505,23944.6265,52007.1944,546166.6175,66166.6175,13.7847
2024,120000.0,600000.0,1.38,761331.4816,161331.4816,26.8886,30065.4313,82072.6256,774570.3533,174570.3533,29.0951
2025,120000.0,720000.0,1.372,912004.0552,192004.0552,26.6672,34492.9836,116565.6092,928238.0078,208238.0078,28.9219
2026,50000.0,770000.0,1.399,976788.652,206788.652,26.8557,0.0,116565.6092,995636.007,225636.007,29.3034
