trade_date,adj_close
20230526,2.23934
20230525,2.3572
20230524,2.47506
20230523,2.59292
20230522,2.71078
20230519,2.8286399999999996
20230518,3.00543
20230517,3.18222
20230516,3.3590099999999996
20230515,3.5357999999999996
20230512,3.71259
20230511,3.88938
20230510,4.06617
20230509,4.301889999999999
20230508,4.53761
20230505,4.7733300000000005
20230504,5.009049999999999
20230428,5.24477
20230427,5.53942
20230426,5.83407
20230425,6.12872
20230424,6.42337
20230421,6.776949999999999
20230420,7.130529999999999
20230418,7.48411
20230417,7.5430399999999995
20230414,7.6609
20230413,7.60197
20230412,7.60197
20230411,7.5430399999999995
20230410,7.6609
20230407,7.83769
20230406,7.6609
20230404,7.83769
20230403,7.89662
20230331,7.955550000000001
20230330,7.71983
20230329,7.83769
20230328,8.01448
20230327,8.07341
20230324,8.01448
20230323,8.19127
20230322,8.13234
20230321,8.01448
20230320,7.89662
20230317,8.13234
20230316,8.36806
20230315,8.603779999999999
20230314,8.42699
20230313,8.721639999999999
20230310,9.13415
20230309,8.721639999999999
20230308,9.19308
20230307,8.95736
20230306,8.54485
20230303,8.13234
20230302,8.07341
20230301,8.13234
20230228,7.71983
20230227,7.6609
20230224,7.71983
20230223,7.71983
20230222,7.71983
20230221,7.89662
20230220,7.77876
20230217,7.83769
20230216,7.89662
20230215,8.07341
20230214,8.36806
20230213,7.955550000000001
20230210,7.89662
20230209,7.955550000000001
20230208,7.60197
20230207,7.60197
20230206,7.71983
20230203,7.6609
20230202,8.01448
20230201,8.42699
20230131,8.2502
20230130,8.662709999999999
20230120,8.54485
20230119,8.48592
20230118,8.42699
20230117,8.48592
20230116,8.54485
20230113,9.01629
20230112,9.01629
20230111,9.07522
20230110,9.19308
20230109,9.19308
20230106,9.19308
20230105,9.31094
20230104,9.31094
20230103,9.36987
20221230,8.95736
20221229,9.01629
20221228,9.07522
20221227,9.25201
20221226,9.13415
20221223,9.01629
20221222,9.07522
20221221,9.13415
20221220,9.25201
20221219,9.25201
20221216,9.48773
20221215,9.66452
20221214,9.78238
20221213,9.72345
20221212,9.66452
20221209,9.90024
20221208,10.135959999999999
20221207,10.135959999999999
20221206,10.25382
20221205,10.31275
20221202,10.54847
20221201,10.25382
20221130,10.54847
20221129,10.018099999999999
20221128,10.018099999999999
20221125,9.84131
20221124,9.78238
20221123,9.72345
20221122,9.90024
20221121,9.90024
20221118,10.077029999999999
20221117,10.135959999999999
20221116,10.018099999999999
20221115,10.077029999999999
20221114,9.90024
20221111,10.018099999999999
20221110,9.90024
20221109,10.018099999999999
20221108,10.018099999999999
20221107,10.018099999999999
20221104,9.60559
20221103,9.4288
20221102,9.4288
20221101,9.36987
20221031,9.01629
20221028,9.36987
20221027,9.60559
20221026,9.60559
20221025,9.4288
20221024,9.546660000000001
20221021,9.959169999999999
20221020,9.959169999999999
20221019,10.018099999999999
20221018,10.135959999999999
20221017,10.135959999999999
20221014,10.19489
20221013,9.90024
20221012,9.84131
20221011,9.66452
20221010,9.90024
20220930,10.37168
20220929,10.25382
20220928,10.43061
20220927,10.43061
20220926,10.31275
20220923,10.84312
20220922,10.960980000000001
20220921,11.07884
20220920,11.07884
20220919,10.84312
20220916,11.07884
20220915,11.491349999999999
20220914,11.373489999999999
20220913,11.373489999999999
20220909,11.432419999999999
20220908,11.373489999999999
20220907,11.432419999999999
20220906,11.491349999999999
20220905,11.491349999999999
20220902,11.373489999999999
20220901,11.255629999999998
20220831,11.255629999999998
20220830,11.491349999999999
20220829,11.432419999999999
20220826,11.491349999999999
20220825,11.373489999999999
20220824,11.432419999999999
20220823,11.66814
20220822,11.60921
20220819,11.550279999999999
20220818,11.314559999999998
20220817,11.432419999999999
20220816,11.314559999999998
20220815,11.1967
20220812,11.314559999999998
20220811,11.314559999999998
20220810,11.314559999999998
20220809,11.373489999999999
20220808,11.1967
20220805,11.1967
20220804,11.13777
20220803,11.01991
20220802,10.960980000000001
20220801,11.550279999999999
20220729,11.786
20220728,11.72707
20220727,11.72707
20220726,11.90386
20220725,11.314559999999998
20220722,11.550279999999999
20220721,11.1967
20220720,11.1967
20220719,11.07884
20220718,10.960980000000001
20220715,10.78419
20220714,11.255629999999998
20220713,11.373489999999999
20220712,11.314559999999998
20220711,11.255629999999998
20220708,11.491349999999999
20220707,11.550279999999999
20220706,11.314559999999998
20220705,11.786
20220704,11.844929999999998
20220701,11.255629999999998
