trade_date,adj_close
20260605,377.551825
20260604,388.33902
20260603,385.07777500000003
20260602,380.81307
20260601,378.80615
20260529,372.78539
20260528,393.105455
20260527,395.86496999999997
20260526,414.93071
20260525,430.98607
20260522,432.24039500000003
20260521,422.20579499999997
20260520,456.07257
20260519,475.890905
20260518,463.59852
20260515,476.392635
20260514,469.11755
20260513,495.20750999999996
20260512,438.51202
20260511,448.29575500000004
20260508,448.54662
20260507,441.02067
20260506,433.99645000000004
20260430,401.384
20260429,412.672925
20260428,405.146975
20260427,423.71098500000005
20260424,446.53970000000004
20260423,474.13485
20260422,479.904745
20260421,451.05527
20260420,468.11409000000003
20260417,474.13485
20260416,480.15561
20260415,458.0794900000001
20260414,468.36495500000007
20260413,455.57084000000003
20260410,445.787105
20260409,450.302675
20260408,462.09333000000004
20260407,402.638325
20260403,415.181575
20260402,415.181575
20260401,444.78364500000004
20260331,423.96184999999997
20260330,439.01375
20260327,437.257695
20260326,439.01375
20260325,455.06911
20260324,424.46358000000004
20260323,418.6936850000001
20260320,439.76634500000006
20260319,467.361495
20260318,463.09679000000006
20260317,423.96184999999997
20260316,436.755965
20260313,445.28537500000004
20260312,478.65042
20260311,486.17637
20260310,511.51373500000005
20260309,502.48259500000006
20260306,447.79402500000003
20260305,449.04834999999997
20260304,451.80786500000005
20260303,453.56392
20260302,488.935885
20260227,506.7473
20260226,495.45837500000005
20260225,510.51027500000004
20260224,534.34245
20260213,564.94798
20260212,554.9133800000001
20260211,513.018925
20260210,468.61582
20260209,474.13485
20260206,449.800945
20260205,450.804405
20260204,419.44628
20260203,484.42031499999996
20260202,423.46012
20260130,415.43244
20260129,421.45320000000004
20260128,391.098535
20260127,339.67121
20260126,345.69196999999997
20260123,287.99302
20260122,285.73523500000005
20260121,281.219665
20260120,282.47399
20260119,287.49129000000005
20260116,291.0034
20260115,299.03108000000003
20260114,303.04492
20260113,293.261185
20260112,304.55011
20260109,283.728315
20260108,270.93420000000003
20260107,267.92382
20260106,268.174685
20260105,265.41517
20251231,257.136625
20251230,257.38749
20251229,254.12624500000004
20251226,256.133165
20251225,255.129705
20251224,254.62797500000002
20251223,251.86846
20251222,251.36673
20251219,250.36327000000003
20251218,248.10548500000002
20251217,248.60721500000002
20251216,244.84424
20251215,248.35635000000002
20251212,253.122785
20251211,249.610675
20251210,253.624515
20251209,255.38057
20251208,258.641815
20251205,257.38749
20251204,254.12624500000004
20251203,253.122785
20251202,258.641815
20251201,262.655655
20251128,260.8996
20251127,258.39095000000003
20251126,260.8996
20251125,261.150465
20251124,261.150465
20251121,255.8823
20251120,263.90998
20251119,270.93420000000003
20251118,268.676415
20251117,269.93074
20251114,268.42555
20251113,281.97226
20251112,276.202365
20251111,280.9688
20251110,286.48783000000003
20251107,281.97226
20251106,284.48091
20251105,284.731775
20251104,289.749075
20251103,294.26464500000003
20251031,290.250805
20251030,285.48437
20251029,291.50513
20251028,288.49475
20251027,291.75599500000004
20251024,278.96188
20251023,276.704095
20251022,274.44631
20251021,278.46015
20251020,275.70063500000003
20251017,273.19198500000005
20251016,288.49475
20251015,299.53281
20251014,299.03108000000003
20251013,308.06221999999997
20251010,298.52935
20251009,297.776755
20250930,289.49821
20250929,288.49475
20250926,283.47745000000003
20250925,295.01724
20250924,290.50167
20250923,281.72139500000003
20250922,287.49129000000005
20250919,285.233505
20250918,285.48437
20250917,287.99302
20250916,287.240425
20250915,283.47745000000003
20250912,285.73523500000005
20250911,285.73523500000005
20250910,276.202365
20250909,273.94458000000003
20250908,280.717935
20250905,280.717935
20250904,271.686795
20250903,278.711015
20250902,285.73523500000005
20250901,302.54319000000004
20250829,305.05184
20250828,310.320005
20250827,305.804435
20250826,309.818275
20250825,312.828655
20250822,315.337305
20250821,302.04146
20250820,307.05876
20250819,307.56049
20250818,311.57433000000003
20250815,306.0553
20250814,289.49821
20250813,297.02416
20250812,287.99302
20250811,282.223125
20250808,274.44631
20250807,280.216205
20250806,283.97918000000004
20250805,278.209285
20250804,277.95842
20250801,278.209285
20250731,274.195445
20250730,268.676415
20250729,274.195445
20250728,274.195445
20250725,275.70063500000003
20250724,271.43593000000004
20250723,267.92382
20250722,265.9169
20250721,268.42555
