trade_date,adj_close,adj_factor,ts_code,close
20120104,50.29,10.7,600320.SH,4.7
20120105,49.21999999999999,10.7,600320.SH,4.6
20120106,49.21999999999999,10.7,600320.SH,4.6
20120109,52.108999999999995,10.7,600320.SH,4.87
20120110,53.5,10.7,600320.SH,5.0
20120111,52.75099999999999,10.7,600320.SH,4.93
20120112,53.071999999999996,10.7,600320.SH,4.96
20120113,51.46699999999999,10.7,600320.SH,4.81
20120116,50.29,10.7,600320.SH,4.7
20120117,52.537,10.7,600320.SH,4.91
20120118,50.50399999999999,10.7,600320.SH,4.72
20120119,51.146,10.7,600320.SH,4.78
20120120,51.894999999999996,10.7,600320.SH,4.85
20120130,51.574,10.7,600320.SH,4.82
20120131,52.43,10.7,600320.SH,4.9
20120201,52.215999999999994,10.7,600320.SH,4.88
20120202,52.858000000000004,10.7,600320.SH,4.94
20120203,54.355999999999995,10.7,600320.SH,5.08
20120206,54.462999999999994,10.7,600320.SH,5.09
20120207,53.071999999999996,10.7,600320.SH,4.96
20120208,54.035,10.7,600320.SH,5.05
20120209,53.928,10.7,600320.SH,5.04
20120210,54.035,10.7,600320.SH,5.05
20120213,54.14199999999999,10.7,600320.SH,5.06
20120214,54.035,10.7,600320.SH,5.05
20120215,54.677,10.7,600320.SH,5.11
20120216,54.14199999999999,10.7,600320.SH,5.06
20120217,54.462999999999994,10.7,600320.SH,5.09
20120220,54.249,10.7,600320.SH,5.07
20120221,54.249,10.7,600320.SH,5.07
20120222,54.891,10.7,600320.SH,5.13
20120223,55.533,10.7,600320.SH,5.19
20120224,56.068,10.7,600320.SH,5.24
20120227,56.38899999999999,10.7,600320.SH,5.27
20120228,56.602999999999994,10.7,600320.SH,5.29
20120229,55.318999999999996,10.7,600320.SH,5.17
20120301,55.105,10.7,600320.SH,5.15
20120302,56.175,10.7,600320.SH,5.25
20120305,56.068,10.7,600320.SH,5.24
20120306,55.533,10.7,600320.SH,5.19
20120307,55.105,10.7,600320.SH,5.15
20120308,55.74699999999999,10.7,600320.SH,5.21
20120309,55.64,10.7,600320.SH,5.2
20120312,55.533,10.7,600320.SH,5.19
20120313,56.282,10.7,600320.SH,5.26
20120314,53.821,10.7,600320.SH,5.03
