ts_code,trade_date,close,adj_factor,adj_close
002414.SZ,20150105,20.95,2.105,44.09975
002414.SZ,20150106,21.51,2.105,45.27855
002414.SZ,20150107,21.74,2.105,45.762699999999995
002414.SZ,20150108,21.93,2.105,46.16265
002414.SZ,20150109,21.35,2.105,44.941750000000006
002414.SZ,20150112,20.7,2.105,43.573499999999996
002414.SZ,20150113,20.94,2.105,44.078700000000005
002414.SZ,20150114,20.63,2.105,43.42615
002414.SZ,20150115,20.7,2.105,43.573499999999996
002414.SZ,20150116,20.96,2.105,44.1208
002414.SZ,20150119,20.46,2.105,43.0683
002414.SZ,20150120,20.92,2.105,44.0366
002414.SZ,20150121,21.56,2.105,45.383799999999994
002414.SZ,20150122,22.28,2.105,46.8994
002414.SZ,20150123,21.7,2.105,45.6785
002414.SZ,20150126,21.89,2.105,46.078450000000004
002414.SZ,20150127,22.2,2.105,46.731
002414.SZ,20150128,22.05,2.105,46.41525
002414.SZ,20150129,21.7,2.105,45.6785
002414.SZ,20150130,21.41,2.105,45.06805
002414.SZ,20150202,21.38,2.105,45.0049
002414.SZ,20150203,21.68,2.105,45.6364
002414.SZ,20150204,21.47,2.105,45.19435
002414.SZ,20150205,21.63,2.105,45.53115
002414.SZ,20150206,21.72,2.105,45.7206
002414.SZ,20150209,22.17,2.105,46.66785
002414.SZ,20150210,22.19,2.105,46.70995
002414.SZ,20150211,22.73,2.105,47.846650000000004
002414.SZ,20150212,22.74,2.105,47.8677
002414.SZ,20150213,22.78,2.105,47.9519
002414.SZ,20150216,23.37,2.105,49.193850000000005
002414.SZ,20150217,22.88,2.105,48.1624
002414.SZ,20150225,23.65,2.105,49.783249999999995
002414.SZ,20150226,23.48,2.105,49.4254
002414.SZ,20150227,23.77,2.105,50.035849999999996
002414.SZ,20150302,23.99,2.105,50.498949999999994
002414.SZ,20150303,23.68,2.105,49.846399999999996
002414.SZ,20150304,24.02,2.105,50.5621
002414.SZ,20150305,23.89,2.105,50.28845
002414.SZ,20150306,22.94,2.105,48.288700000000006
002414.SZ,20150309,23.02,2.105,48.4571
002414.SZ,20150310,23.17,2.105,48.772850000000005
002414.SZ,20150311,22.62,2.105,47.6151
002414.SZ,20150312,22.8,2.105,47.994
002414.SZ,20150313,23.96,2.105,50.4358
002414.SZ,20150316,24.71,2.105,52.01455
002414.SZ,20150317,24.9,2.105,52.4145
002414.SZ,20150318,24.86,2.105,52.3303
002414.SZ,20150319,25.31,2.105,53.27755
002414.SZ,20150320,25.2,2.105,53.046
002414.SZ,20150323,25.21,2.105,53.06705
002414.SZ,20150324,25.39,2.105,53.44595
