ts_code,trade_date,close,adj_factor,adj_close
688615.SH,20240926,113.62,1.0,113.62
688615.SH,20240927,125.01,1.0,125.01
688615.SH,20240930,245.01,1.0,245.01
688615.SH,20241008,350.0,1.0,350.0
688615.SH,20241009,175.11,1.0,175.11
688615.SH,20241010,193.88,1.0,193.88
688615.SH,20241011,217.01,1.0,217.01
688615.SH,20241014,223.13,1.0,223.13
688615.SH,20241015,203.17,1.0,203.17
688615.SH,20241016,190.99,1.0,190.99
688615.SH,20241017,189.04,1.0,189.04
688615.SH,20241018,205.75,1.0,205.75
688615.SH,20241021,199.0,1.0,199.0
688615.SH,20241022,193.28,1.0,193.28
688615.SH,20241023,188.88,1.0,188.88
688615.SH,20241024,212.52,1.0,212.52
688615.SH,20241025,216.96,1.0,216.96
688615.SH,20241028,221.0,1.0,221.0
688615.SH,20241029,222.01,1.0,222.01
688615.SH,20241030,216.2,1.0,216.2
688615.SH,20241031,215.0,1.0,215.0
688615.SH,20241101,202.5,1.0,202.5
688615.SH,20241104,202.3,1.0,202.3
688615.SH,20241105,213.11,1.0,213.11
688615.SH,20241106,232.18,1.0,232.18
688615.SH,20241107,267.0,1.0,267.0
688615.SH,20241108,268.0,1.0,268.0
688615.SH,20241111,274.22,1.0,274.22
688615.SH,20241112,261.0,1.0,261.0
688615.SH,20241113,265.58,1.0,265.58
688615.SH,20241114,267.87,1.0,267.87
688615.SH,20241115,253.99,1.0,253.99
688615.SH,20241118,235.3,1.0,235.3
688615.SH,20241119,245.36,1.0,245.36
688615.SH,20241120,245.0,1.0,245.0
688615.SH,20241121,251.88,1.0,251.88
688615.SH,20241122,234.0,1.0,234.0
688615.SH,20241125,229.22,1.0,229.22
688615.SH,20241126,228.57,1.0,228.57
688615.SH,20241127,231.0,1.0,231.0
688615.SH,20241128,232.99,1.0,232.99
688615.SH,20241129,228.03,1.0,228.03
688615.SH,20241202,231.11,1.0,231.11
688615.SH,20241203,222.9,1.0,222.9
688615.SH,20241204,224.45,1.0,224.45
688615.SH,20241205,237.0,1.0,237.0
688615.SH,20241206,234.4,1.0,234.4
688615.SH,20241209,226.13,1.0,226.13
688615.SH,20241210,246.8,1.0,246.8
688615.SH,20241211,238.0,1.0,238.0
688615.SH,20241212,236.51,1.0,236.51
688615.SH,20241213,227.1,1.0,227.1
688615.SH,20241216,215.03,1.0,215.03
688615.SH,20241217,215.81,1.0,215.81
688615.SH,20241218,213.49,1.0,213.49
688615.SH,20241219,214.5,1.0,214.5
688615.SH,20241220,216.69,1.0,216.69
688615.SH,20241223,199.5,1.0,199.5
688615.SH,20241224,203.54,1.0,203.54
688615.SH,20241225,196.56,1.0,196.56
688615.SH,20241226,214.05,1.0,214.05
688615.SH,20241227,209.17,1.0,209.17
688615.SH,20241230,208.47,1.0,208.47
688615.SH,20241231,202.44,1.0,202.44
688615.SH,20250102,193.0,1.0,193.0
688615.SH,20250103,186.69,1.0,186.69
688615.SH,20250106,182.88,1.0,182.88
688615.SH,20250107,185.6,1.0,185.6
688615.SH,20250108,181.79,1.0,181.79
688615.SH,20250109,188.38,1.0,188.38
688615.SH,20250110,184.46,1.0,184.46
688615.SH,20250113,194.6,1.0,194.6
688615.SH,20250114,205.2,1.0,205.2
688615.SH,20250115,200.04,1.0,200.04
688615.SH,20250116,199.62,1.0,199.62
688615.SH,20250117,199.53,1.0,199.53
688615.SH,20250120,202.9,1.0,202.9
688615.SH,20250121,213.97,1.0,213.97
688615.SH,20250122,217.2,1.0,217.2
688615.SH,20250123,228.8,1.0,228.8
688615.SH,20250124,250.72,1.0,250.72
688615.SH,20250127,251.0,1.0,251.0
688615.SH,20250205,259.89,1.0,259.89
688615.SH,20250206,272.05,1.0,272.05
688615.SH,20250207,258.3,1.0,258.3
688615.SH,20250210,251.06,1.0,251.06
688615.SH,20250211,252.86,1.0,252.86
688615.SH,20250212,268.81,1.0,268.81
688615.SH,20250213,261.22,1.0,261.22
688615.SH,20250214,292.94,1.0,292.94
688615.SH,20250217,293.97,1.0,293.97
688615.SH,20250218,266.12,1.0,266.12
688615.SH,20250219,271.87,1.0,271.87
688615.SH,20250220,255.6,1.0,255.6
688615.SH,20250221,265.8,1.0,265.8
688615.SH,20250224,265.5,1.0,265.5
688615.SH,20250225,260.9,1.0,260.9
688615.SH,20250226,257.25,1.0,257.25
688615.SH,20250227,254.0,1.0,254.0
688615.SH,20250228,241.8,1.0,241.8
688615.SH,20250303,255.45,1.0,255.45
688615.SH,20250304,260.23,1.0,260.23
688615.SH,20250305,260.21,1.0,260.21
688615.SH,20250306,278.0,1.0,278.0
688615.SH,20250307,267.91,1.0,267.91
688615.SH,20250310,259.95,1.0,259.95
688615.SH,20250311,256.93,1.0,256.93
688615.SH,20250312,253.99,1.0,253.99
688615.SH,20250313,248.88,1.0,248.88
688615.SH,20250314,254.3,1.0,254.3
688615.SH,20250317,253.45,1.0,253.45
688615.SH,20250318,250.72,1.0,250.72
688615.SH,20250319,247.5,1.0,247.5
688615.SH,20250320,241.0,1.0,241.0
688615.SH,20250321,223.0,1.0,223.0
688615.SH,20250324,224.15,1.0,224.15
688615.SH,20250325,226.81,1.0,226.81
688615.SH,20250326,213.99,1.0,213.99
688615.SH,20250327,216.14,1.0,216.14
688615.SH,20250328,212.16,1.0,212.16
688615.SH,20250331,214.4,1.0,214.4
688615.SH,20250401,213.99,1.0,213.99
688615.SH,20250402,211.56,1.0,211.56
688615.SH,20250403,216.51,1.0,216.51
688615.SH,20250407,185.01,1.0,185.01
688615.SH,20250408,188.58,1.0,188.58
688615.SH,20250409,198.89,1.0,198.89
688615.SH,20250410,197.42,1.0,197.42
688615.SH,20250411,202.02,1.0,202.02
688615.SH,20250414,204.77,1.0,204.77
688615.SH,20250415,224.5,1.0,224.5
688615.SH,20250416,224.96,1.0,224.96
688615.SH,20250417,238.76,1.0,238.76
688615.SH,20250418,232.7,1.0,232.7
688615.SH,20250421,244.8,1.0,244.8
688615.SH,20250422,226.71,1.0,226.71
688615.SH,20250423,228.86,1.0,228.86
688615.SH,20250424,221.37,1.0,221.37
688615.SH,20250425,226.32,1.0,226.32
688615.SH,20250428,228.9,1.0,228.9
688615.SH,20250429,236.65,1.0,236.65
688615.SH,20250430,250.48,1.0,250.48
688615.SH,20250506,250.5,1.0,250.5
688615.SH,20250507,245.11,1.0,245.11
688615.SH,20250508,245.94,1.0,245.94
688615.SH,20250509,234.79,1.0,234.79
688615.SH,20250512,241.68,1.0,241.68
688615.SH,20250513,245.0,1.0,245.0
688615.SH,20250514,238.49,1.0,238.49
688615.SH,20250515,231.62,1.0,231.62
688615.SH,20250516,229.69,1.0,229.69
688615.SH,20250519,228.73,1.0,228.73
688615.SH,20250520,230.8,1.0,230.8
688615.SH,20250521,228.23,1.0,228.23
688615.SH,20250522,230.02,1.0,230.02
688615.SH,20250523,234.7,1.0,234.7
688615.SH,20250526,161.07,1.4121,227.44694699999997
688615.SH,20250527,154.51,1.4121,218.18357099999997
688615.SH,20250528,152.84,1.4121,215.82536399999998
688615.SH,20250529,157.5,1.4121,222.40574999999998
688615.SH,20250530,153.46,1.4121,216.700866
688615.SH,20250603,154.81,1.4121,218.607201
688615.SH,20250604,156.6,1.4121,221.13485999999997
688615.SH,20250605,163.16,1.4121,230.39823599999997
688615.SH,20250606,158.21,1.4121,223.408341
688615.SH,20250609,162.15,1.4121,228.972015
688615.SH,20250610,156.81,1.4121,221.431401
688615.SH,20250611,157.25,1.4121,222.05272499999998
688615.SH,20250612,154.99,1.4121,218.861379
688615.SH,20250613,150.0,1.4121,211.815
688615.SH,20250616,149.74,1.4121,211.447854
688615.SH,20250617,145.49,1.4121,205.446429
688615.SH,20250618,147.55,1.4121,208.355355
688615.SH,20250619,147.92,1.4121,208.87783199999996
688615.SH,20250620,145.92,1.4121,206.05363199999996
688615.SH,20250623,150.56,1.4121,212.605776
688615.SH,20250624,154.3,1.4121,217.88703
688615.SH,20250625,156.6,1.4121,221.13485999999997
688615.SH,20250626,153.15,1.4121,216.263115
688615.SH,20250627,153.99,1.4121,217.449279
688615.SH,20250630,157.91,1.4121,222.98471099999998
688615.SH,20250701,157.72,1.4121,222.716412
688615.SH,20250702,152.71,1.4121,215.64179099999998
688615.SH,20250703,152.76,1.4121,215.71239599999998
688615.SH,20250704,154.78,1.4121,218.56483799999998
688615.SH,20250707,150.46,1.4121,212.464566
688615.SH,20250708,158.74,1.4121,224.156754
688615.SH,20250709,158.2,1.4121,223.39421999999996
688615.SH,20250710,154.5,1.4121,218.16944999999998
688615.SH,20250711,159.24,1.4121,224.862804
688615.SH,20250714,159.14,1.4121,224.72159399999995
688615.SH,20250715,169.77,1.4121,239.732217
688615.SH,20250716,167.15,1.4121,236.032515
688615.SH,20250717,164.52,1.4121,232.318692
688615.SH,20250718,171.5,1.4121,242.17514999999997
688615.SH,20250721,172.89,1.4121,244.13796899999997
688615.SH,20250722,164.6,1.4121,232.43165999999997
688615.SH,20250723,168.2,1.4121,237.51521999999997
688615.SH,20250724,178.68,1.4121,252.314028
688615.SH,20250725,183.35,1.4121,258.908535
688615.SH,20250728,180.6,1.4121,255.02525999999997
688615.SH,20250729,180.98,1.4121,255.56185799999997
688615.SH,20250730,183.64,1.4121,259.318044
688615.SH,20250731,187.5,1.4121,264.76875
688615.SH,20250801,190.94,1.4121,269.626374
688615.SH,20250804,188.63,1.4121,266.364423
688615.SH,20250805,184.9,1.4121,261.09729
688615.SH,20250806,182.88,1.4121,258.244848
688615.SH,20250807,178.72,1.4121,252.370512
688615.SH,20250808,167.91,1.4121,237.10571099999999
688615.SH,20250811,171.95,1.4121,242.81059499999998
688615.SH,20250812,170.34,1.4121,240.537114
688615.SH,20250813,171.5,1.4121,242.17514999999997
688615.SH,20250814,167.28,1.4121,236.21608799999998
688615.SH,20250815,170.21,1.4121,240.353541
688615.SH,20250818,175.99,1.4121,248.515479
688615.SH,20250819,173.1,1.4121,244.43451
688615.SH,20250820,174.35,1.4121,246.19963499999997
688615.SH,20250821,175.48,1.4121,247.79530799999998
688615.SH,20250822,182.91,1.4121,258.28721099999996
688615.SH,20250825,184.5,1.4121,260.53245
688615.SH,20250826,185.29,1.4121,261.64800899999994
688615.SH,20250827,180.25,1.4121,254.53102499999997
688615.SH,20250828,184.93,1.4121,261.139653
688615.SH,20250829,175.6,1.4121,247.96475999999998
688615.SH,20250901,174.76,1.4121,246.77859599999996
688615.SH,20250902,170.3,1.4121,240.48063
688615.SH,20250903,163.67,1.4121,231.11840699999996
688615.SH,20250904,155.33,1.4121,219.341493
688615.SH,20250905,157.84,1.4121,222.885864
688615.SH,20250908,156.69,1.4121,221.261949
688615.SH,20250909,153.0,1.4121,216.0513
688615.SH,20250910,155.18,1.4121,219.12967799999998
688615.SH,20250911,159.29,1.4121,224.93340899999998
688615.SH,20250912,158.0,1.4121,223.1118
688615.SH,20250915,156.94,1.4121,221.614974
688615.SH,20250916,163.87,1.4121,231.400827
688615.SH,20250917,163.71,1.4121,231.174891
688615.SH,20250918,160.28,1.4121,226.33138799999998
688615.SH,20250919,157.78,1.4121,222.80113799999998
688615.SH,20250922,157.6,1.4121,222.54695999999998
688615.SH,20250923,153.9,1.4121,217.32219
688615.SH,20250924,158.2,1.4121,223.39421999999996
688615.SH,20250925,171.85,1.4121,242.66938499999998
688615.SH,20250926,154.5,1.4121,218.16944999999998
688615.SH,20250929,149.74,1.4121,211.447854
688615.SH,20250930,159.68,1.4121,225.484128
688615.SH,20251009,166.8,1.4121,235.53828000000001
688615.SH,20251010,162.29,1.4121,229.16970899999998
688615.SH,20251013,161.66,1.4121,228.28008599999998
688615.SH,20251014,164.77,1.4121,232.671717
688615.SH,20251015,168.88,1.4121,238.47544799999997
688615.SH,20251016,175.8,1.4121,248.24718000000001
688615.SH,20251017,169.2,1.4121,238.92731999999998
688615.SH,20251020,167.29,1.4121,236.23020899999997
688615.SH,20251021,172.25,1.4121,243.23422499999998
688615.SH,20251022,177.33,1.4121,250.407693
688615.SH,20251023,174.05,1.4121,245.776005
688615.SH,20251024,178.97,1.4121,252.723537
688615.SH,20251027,177.33,1.4121,250.407693
688615.SH,20251028,182.93,1.4121,258.315453
688615.SH,20251029,185.4,1.4121,261.80334
688615.SH,20251030,189.98,1.4121,268.27075799999994
688615.SH,20251031,216.85,1.4121,306.21388499999995
688615.SH,20251103,219.51,1.4121,309.97007099999996
688615.SH,20251104,225.0,1.4121,317.72249999999997
688615.SH,20251105,220.5,1.4121,311.36805
688615.SH,20251106,217.72,1.4121,307.442412
688615.SH,20251107,212.97,1.4121,300.734937
688615.SH,20251110,204.07,1.4121,288.167247
688615.SH,20251111,200.51,1.4121,283.14017099999995
688615.SH,20251112,202.4,1.4121,285.80904
688615.SH,20251113,208.54,1.4121,294.479334
688615.SH,20251114,203.0,1.4121,286.6563
688615.SH,20251117,205.0,1.4121,289.4805
688615.SH,20251118,207.5,1.4121,293.01075
688615.SH,20251119,201.5,1.4121,284.53815
688615.SH,20251120,198.9,1.4121,280.86669
688615.SH,20251121,195.0,1.4121,275.35949999999997
688615.SH,20251124,208.88,1.4121,294.95944799999995
688615.SH,20251125,207.77,1.4121,293.392017
688615.SH,20251126,210.66,1.4121,297.472986
688615.SH,20251127,207.56,1.4121,293.09547599999996
688615.SH,20251128,207.09,1.4121,292.431789
688615.SH,20251201,210.99,1.4121,297.938979
688615.SH,20251202,206.0,1.4121,290.89259999999996
688615.SH,20251203,202.5,1.4121,285.95025
688615.SH,20251204,202.6,1.4121,286.09146
688615.SH,20251205,195.16,1.4121,275.58543599999996
688615.SH,20251208,197.18,1.4121,278.437878
688615.SH,20251209,193.3,1.4121,272.95893
688615.SH,20251210,200.3,1.4121,282.84363
688615.SH,20251211,195.08,1.4121,275.472468
688615.SH,20251212,222.0,1.4121,313.4862
688615.SH,20251215,213.6,1.4121,301.62456
688615.SH,20251216,216.5,1.4121,305.71965
688615.SH,20251217,227.04,1.4121,320.60318399999994
688615.SH,20251218,223.28,1.4121,315.293688
688615.SH,20251219,219.74,1.4121,310.294854
688615.SH,20251222,215.78,1.4121,304.70293799999996
688615.SH,20251223,213.59,1.4121,301.610439
688615.SH,20251224,213.93,1.4121,302.090553
688615.SH,20251225,214.92,1.4121,303.48853199999996
688615.SH,20251226,215.08,1.4121,303.714468
688615.SH,20251229,215.11,1.4121,303.756831
688615.SH,20251230,211.03,1.4121,297.995463
688615.SH,20251231,227.58,1.4121,321.365718
688615.SH,20260105,246.2,1.4121,347.65901999999994
688615.SH,20260106,246.61,1.4121,348.237981
688615.SH,20260107,246.84,1.4121,348.56276399999996
688615.SH,20260108,250.16,1.4121,353.25093599999997
688615.SH,20260109,264.42,1.4121,373.387482
688615.SH,20260112,308.0,1.4121,434.92679999999996
688615.SH,20260113,320.28,1.4121,452.2673879999999
688615.SH,20260114,318.99,1.4121,450.44577899999996
688615.SH,20260115,331.2,1.4121,467.68751999999995
688615.SH,20260116,325.8,1.4121,460.06218
688615.SH,20260119,304.24,1.4121,429.617304
688615.SH,20260120,302.01,1.4121,426.46832099999995
688615.SH,20260121,298.08,1.4121,420.91876799999994
688615.SH,20260122,296.47,1.4121,418.645287
688615.SH,20260123,306.44,1.4121,432.72392399999995
688615.SH,20260126,296.06,1.4121,418.066326
688615.SH,20260127,301.88,1.4121,426.284748
688615.SH,20260128,288.92,1.4121,407.983932
688615.SH,20260129,289.8,1.4121,409.22658
688615.SH,20260130,279.0,1.4121,393.97589999999997
688615.SH,20260202,267.73,1.4121,378.061533
688615.SH,20260203,268.3,1.4121,378.86643
688615.SH,20260204,250.3,1.4121,353.44863
688615.SH,20260205,245.22,1.4121,346.27516199999997
688615.SH,20260206,243.23,1.4121,343.46508299999994
688615.SH,20260209,247.16,1.4121,349.014636
688615.SH,20260210,248.0,1.4121,350.20079999999996
688615.SH,20260211,246.22,1.4121,347.687262
688615.SH,20260212,246.89,1.4121,348.63336899999996
688615.SH,20260213,239.72,1.4121,338.50861199999997
688615.SH,20260224,221.02,1.4121,312.102342
688615.SH,20260225,226.0,1.4121,319.1346
688615.SH,20260226,225.1,1.4121,317.86370999999997
688615.SH,20260227,225.47,1.4121,318.38618699999995
688615.SH,20260302,217.17,1.4121,306.665757
688615.SH,20260303,203.78,1.4121,287.75773799999996
688615.SH,20260304,198.58,1.4121,280.414818
688615.SH,20260305,197.75,1.4121,279.242775
688615.SH,20260306,198.63,1.4121,280.48542299999997
688615.SH,20260309,198.0,1.4121,279.5958
688615.SH,20260310,200.28,1.4121,282.815388
688615.SH,20260311,194.8,1.4121,275.07708
688615.SH,20260312,191.95,1.4121,271.05259499999994
688615.SH,20260313,189.03,1.4121,266.929263
688615.SH,20260316,188.5,1.4121,266.18084999999996
688615.SH,20260317,186.39,1.4121,263.20131899999996
688615.SH,20260318,190.78,1.4121,269.400438
688615.SH,20260319,183.15,1.4121,258.62611499999997
688615.SH,20260320,177.13,1.4121,250.12527299999996
688615.SH,20260323,169.0,1.4121,238.64489999999998
688615.SH,20260324,171.3,1.4121,241.89273
688615.SH,20260325,174.88,1.4121,246.94804799999997
688615.SH,20260326,170.91,1.4121,241.34201099999999
688615.SH,20260327,173.2,1.4121,244.57571999999996
688615.SH,20260330,171.28,1.4121,241.864488
688615.SH,20260331,169.8,1.4121,239.77458000000001
688615.SH,20260401,175.0,1.4121,247.11749999999998
688615.SH,20260402,167.89,1.4121,237.07746899999998
688615.SH,20260403,164.9,1.4121,232.85529
688615.SH,20260407,165.61,1.4121,233.857881
688615.SH,20260408,179.59,1.4121,253.59903899999998
688615.SH,20260409,174.67,1.4121,246.65150699999998
688615.SH,20260410,175.12,1.4121,247.28695199999999
688615.SH,20260413,171.5,1.4121,242.17514999999997
688615.SH,20260414,181.0,1.4121,255.59009999999998
688615.SH,20260415,178.7,1.4121,252.34226999999996
688615.SH,20260416,187.21,1.4121,264.359241
688615.SH,20260417,185.95,1.4121,262.57999499999994
688615.SH,20260420,188.17,1.4121,265.71485699999994
688615.SH,20260421,194.01,1.4121,273.96152099999995
688615.SH,20260422,189.29,1.4121,267.296409
688615.SH,20260423,183.61,1.4121,259.275681
688615.SH,20260424,180.14,1.4121,254.37569399999995
688615.SH,20260427,128.0,1.9953,255.3984
688615.SH,20260428,122.49,1.9953,244.40429699999999
688615.SH,20260429,130.04,1.9953,259.468812
688615.SH,20260430,137.1,1.9953,273.55563
688615.SH,20260506,146.5,1.9953,292.31145000000004
688615.SH,20260507,148.41,1.9953,296.122473
688615.SH,20260508,147.47,1.9953,294.246891
688615.SH,20260511,149.99,1.9953,299.27504700000003
688615.SH,20260512,142.74,1.9953,284.809122
688615.SH,20260513,145.39,1.9953,290.09666699999997
688615.SH,20260514,139.18,1.9953,277.70585400000004
688615.SH,20260515,141.1,1.9953,281.53683
688615.SH,20260518,145.69,1.9953,290.695257
688615.SH,20260519,149.86,1.9953,299.01565800000003
688615.SH,20260520,146.0,1.9953,291.3138
688615.SH,20260521,138.5,1.9953,276.34905000000003
688615.SH,20260522,141.57,1.9953,282.474621
