ts_code,trade_date,close,adj_factor,adj_close
000519.SZ,20150105,13.97,5.6,78.232
000519.SZ,20150106,14.13,5.6,79.128
000519.SZ,20150107,13.91,5.6,77.896
000519.SZ,20150108,14.01,5.6,78.45599999999999
000519.SZ,20150109,13.86,5.6,77.61599999999999
000519.SZ,20150112,13.46,5.6,75.376
000519.SZ,20150113,13.53,5.6,75.76799999999999
000519.SZ,20150114,13.51,5.6,75.65599999999999
000519.SZ,20150115,13.64,5.6,76.384
000519.SZ,20150116,13.75,5.6,77.0
000519.SZ,20150119,13.43,5.6,75.208
000519.SZ,20150120,13.85,5.6,77.55999999999999
000519.SZ,20150121,14.28,5.6,79.96799999999999
000519.SZ,20150122,15.21,5.6,85.176
000519.SZ,20150123,14.74,5.6,82.544
000519.SZ,20150126,14.94,5.6,83.66399999999999
000519.SZ,20150127,15.0,5.6,84.0
000519.SZ,20150128,14.84,5.6,83.104
000519.SZ,20150129,14.82,5.6,82.99199999999999
000519.SZ,20150130,14.92,5.6,83.55199999999999
000519.SZ,20150202,14.63,5.6,81.928
000519.SZ,20150203,14.77,5.6,82.71199999999999
000519.SZ,20150204,14.85,5.6,83.16
000519.SZ,20150205,14.77,5.6,82.71199999999999
000519.SZ,20150206,14.19,5.6,79.464
000519.SZ,20150209,14.0,5.6,78.39999999999999
000519.SZ,20150210,14.12,5.6,79.07199999999999
000519.SZ,20150211,14.11,5.6,79.01599999999999
000519.SZ,20150212,14.25,5.6,79.8
000519.SZ,20150213,14.4,5.6,80.64
000519.SZ,20150216,14.72,5.6,82.432
000519.SZ,20150217,14.75,5.6,82.6
000519.SZ,20150225,15.05,5.6,84.28
000519.SZ,20150226,15.07,5.6,84.392
000519.SZ,20150227,15.09,5.6,84.50399999999999
000519.SZ,20150302,15.28,5.6,85.568
000519.SZ,20150303,15.3,5.6,85.67999999999999
000519.SZ,20150304,15.45,5.6,86.52
000519.SZ,20150305,15.3,5.6,85.67999999999999
000519.SZ,20150306,14.96,5.6,83.776
000519.SZ,20150309,15.18,5.6,85.008
000519.SZ,20150310,15.37,5.6,86.07199999999999
000519.SZ,20150311,15.28,5.6,85.568
000519.SZ,20150312,15.3,5.6,85.67999999999999
000519.SZ,20150313,15.45,5.6,86.52
000519.SZ,20150316,15.89,5.6,88.984
000519.SZ,20150317,15.94,5.6,89.264
000519.SZ,20150318,16.03,5.6,89.768
000519.SZ,20150319,16.18,5.6,90.60799999999999
000519.SZ,20150320,17.04,5.6,95.42399999999999
000519.SZ,20150323,17.07,5.6,95.592
000519.SZ,20150324,17.98,5.6,100.688
000519.SZ,20150325,18.08,5.6,101.24799999999999
000519.SZ,20150326,17.7,5.6,99.11999999999999
000519.SZ,20150327,17.73,5.6,99.288
000519.SZ,20150330,17.82,5.6,99.792
000519.SZ,20150331,17.54,5.6,98.22399999999999
000519.SZ,20150401,17.86,5.6,100.01599999999999
000519.SZ,20150402,18.02,5.6,100.91199999999999
000519.SZ,20150403,18.43,5.6,103.208
000519.SZ,20150407,18.87,5.6,105.672
000519.SZ,20150408,18.15,5.6,101.63999999999999
000519.SZ,20150409,17.37,5.6,97.272
000519.SZ,20150410,17.75,5.6,99.39999999999999
000519.SZ,20150413,18.29,5.6,102.42399999999999
000519.SZ,20150414,18.44,5.6,103.264
000519.SZ,20150415,17.5,5.6,98.0
000519.SZ,20150416,17.64,5.6,98.78399999999999
000519.SZ,20150417,18.29,5.6,102.42399999999999
000519.SZ,20150420,18.41,5.6,103.09599999999999
000519.SZ,20150421,19.28,5.6,107.968
000519.SZ,20150422,19.85,5.6,111.16
000519.SZ,20150423,19.61,5.6,109.81599999999999
000519.SZ,20150424,19.48,5.6,109.088
000519.SZ,20150427,19.49,5.6,109.14399999999999
000519.SZ,20150428,18.65,5.6,104.43999999999998
000519.SZ,20150429,18.97,5.6,106.23199999999999
000519.SZ,20150430,18.6,5.6,104.16
000519.SZ,20150504,19.29,5.6,108.02399999999999
000519.SZ,20150505,18.7,5.6,104.71999999999998
000519.SZ,20150506,17.8,5.6,99.67999999999999
000519.SZ,20150507,17.36,5.6,97.216
000519.SZ,20150508,18.2,5.6,101.91999999999999
000519.SZ,20150511,18.65,5.6,104.43999999999998
000519.SZ,20150512,19.04,5.6,106.624
000519.SZ,20150513,18.92,5.6,105.952
000519.SZ,20150514,19.54,5.6,109.42399999999999
000519.SZ,20150515,19.34,5.6,108.30399999999999
000519.SZ,20150518,19.63,5.6,109.92799999999998
000519.SZ,20150519,19.73,5.6,110.488
000519.SZ,20150520,20.0,5.6,112.0
000519.SZ,20150521,21.2,5.6,118.71999999999998
000519.SZ,20150522,21.38,5.6,119.72799999999998
000519.SZ,20150525,22.84,5.6,127.904
000519.SZ,20150526,24.05,5.6,134.68
000519.SZ,20150527,23.58,5.6,132.04799999999997
000519.SZ,20150528,21.24,5.6,118.94399999999999
000519.SZ,20150529,21.84,5.6,122.30399999999999
000519.SZ,20150601,23.07,5.6,129.192
000519.SZ,20150602,24.18,5.6,135.408
000519.SZ,20150603,25.03,5.6,140.168
000519.SZ,20150604,24.15,5.6,135.23999999999998
000519.SZ,20150605,24.71,5.6,138.376
000519.SZ,20150608,24.08,5.6,134.84799999999998
000519.SZ,20150609,24.33,5.6,136.248
000519.SZ,20150610,24.31,5.6,136.136
000519.SZ,20150611,25.22,5.6,141.23199999999997
000519.SZ,20150612,26.06,5.6,145.93599999999998
000519.SZ,20151228,16.71,7.859,131.32389
000519.SZ,20151229,15.3,7.859,120.2427
000519.SZ,20151230,16.83,7.859,132.26697
000519.SZ,20151231,16.98,7.859,133.44582
000519.SZ,20160104,15.86,7.859,124.64374
000519.SZ,20160105,17.45,7.859,137.13954999999999
000519.SZ,20160106,19.2,7.859,150.8928
000519.SZ,20160107,17.28,7.859,135.80352000000002
000519.SZ,20160108,17.24,7.859,135.48916
000519.SZ,20160111,15.52,7.859,121.97167999999999
000519.SZ,20160112,13.97,7.859,109.79023000000001
000519.SZ,20160113,12.97,7.859,101.93123
000519.SZ,20160114,13.89,7.859,109.16151
000519.SZ,20160115,13.94,7.859,109.55445999999999
000519.SZ,20160118,14.0,7.859,110.026
000519.SZ,20160119,14.43,7.859,113.40536999999999
000519.SZ,20160120,14.01,7.859,110.10459
000519.SZ,20160121,12.87,7.859,101.14532999999999
000519.SZ,20160122,13.07,7.859,102.71713
000519.SZ,20160125,13.1,7.859,102.9529
000519.SZ,20160126,11.79,7.859,92.65760999999999
000519.SZ,20160127,11.19,7.859,87.94221
000519.SZ,20160128,10.56,7.859,82.99104
000519.SZ,20160129,11.01,7.859,86.52759
000519.SZ,20160201,10.54,7.859,82.83385999999999
000519.SZ,20160202,11.12,7.859,87.39207999999999
000519.SZ,20160203,11.0,7.859,86.449
000519.SZ,20160204,11.28,7.859,88.64952
000519.SZ,20160205,11.16,7.859,87.70644
000519.SZ,20160215,11.36,7.859,89.27824
000519.SZ,20160216,11.89,7.859,93.44351
000519.SZ,20160217,12.22,7.859,96.03698
000519.SZ,20160218,12.01,7.859,94.38659
000519.SZ,20160219,12.26,7.859,96.35134
000519.SZ,20160222,13.49,7.859,106.01791
000519.SZ,20160223,13.84,7.859,108.76856
000519.SZ,20160224,13.63,7.859,107.11817
000519.SZ,20160225,12.27,7.859,96.42993
000519.SZ,20160226,12.05,7.859,94.70095
000519.SZ,20160229,11.04,7.859,86.76335999999999
000519.SZ,20160301,11.42,7.859,89.74978
000519.SZ,20160302,12.24,7.859,96.19416
000519.SZ,20160303,12.77,7.859,100.35943
000519.SZ,20160304,12.88,7.859,101.22392
000519.SZ,20160307,13.06,7.859,102.63854
000519.SZ,20160308,12.83,7.859,100.83097
000519.SZ,20160309,12.45,7.859,97.84455
000519.SZ,20160310,12.98,7.859,102.00982
000519.SZ,20160311,12.72,7.859,99.96648
000519.SZ,20160314,13.38,7.859,105.15342000000001
000519.SZ,20160315,12.93,7.859,101.61686999999999
000519.SZ,20160316,12.4,7.859,97.4516
000519.SZ,20160317,12.82,7.859,100.75238
000519.SZ,20160318,13.31,7.859,104.60329
000519.SZ,20160321,13.84,7.859,108.76856
000519.SZ,20160322,13.95,7.859,109.63305
000519.SZ,20160323,13.95,7.859,109.63305
000519.SZ,20160324,13.44,7.859,105.62496
000519.SZ,20160325,13.67,7.859,107.43253
000519.SZ,20160328,13.55,7.859,106.48945
000519.SZ,20160329,13.1,7.859,102.9529
000519.SZ,20160330,13.56,7.859,106.56804000000001
000519.SZ,20160331,13.46,7.859,105.78214000000001
000519.SZ,20160401,13.5,7.859,106.0965
000519.SZ,20160405,13.79,7.859,108.37561
000519.SZ,20160406,13.79,7.859,108.37561
000519.SZ,20160407,13.24,7.859,104.05316
000519.SZ,20160408,12.95,7.859,101.77404999999999
000519.SZ,20160411,13.17,7.859,103.50303
000519.SZ,20160412,12.93,7.859,101.61686999999999
000519.SZ,20160413,13.23,7.859,103.97457
000519.SZ,20160414,13.25,7.859,104.13175
000519.SZ,20160415,13.06,7.859,102.63854
000519.SZ,20160418,13.13,7.859,103.18867
000519.SZ,20160419,12.99,7.859,102.08841
000519.SZ,20160420,11.9,7.859,93.52210000000001
000519.SZ,20160421,11.8,7.859,92.73620000000001
000519.SZ,20160422,11.75,7.859,92.34325
000519.SZ,20160425,11.56,7.859,90.85004
000519.SZ,20160426,11.85,7.859,93.12915
000519.SZ,20160427,11.71,7.859,92.02889
000519.SZ,20160428,11.58,7.859,91.00722
000519.SZ,20160429,11.55,7.859,90.77145
000519.SZ,20160503,12.44,7.859,97.76595999999999
000519.SZ,20160504,12.28,7.859,96.50851999999999
000519.SZ,20160505,12.75,7.859,100.20225
000519.SZ,20160506,12.23,7.859,96.11557
000519.SZ,20160511,11.04,7.859,86.76335999999999
000519.SZ,20160512,10.79,7.859,84.79861
000519.SZ,20160513,10.64,7.859,83.61976
000519.SZ,20160516,10.73,7.859,84.32707
000519.SZ,20160517,10.94,7.859,85.97746
000519.SZ,20160518,10.47,7.859,82.28373
000519.SZ,20160519,10.56,7.859,82.99104
000519.SZ,20160520,10.82,7.859,85.03438
000519.SZ,20160523,10.85,7.859,85.27015
000519.SZ,20160524,10.63,7.859,83.54117000000001
000519.SZ,20160525,10.56,7.859,82.99104
000519.SZ,20160526,10.6,7.859,83.30539999999999
000519.SZ,20160527,10.61,7.859,83.38399
000519.SZ,20160530,11.03,7.859,86.68477
000519.SZ,20160531,11.42,7.859,89.74978
000519.SZ,20160601,11.56,7.859,90.85004
000519.SZ,20160602,11.62,7.859,91.32158
000519.SZ,20160603,11.51,7.859,90.45709
000519.SZ,20160606,11.36,7.859,89.27824
000519.SZ,20160607,11.43,7.859,89.82836999999999
000519.SZ,20160608,11.6,7.859,91.1644
