trade_date,adj_close,adj_factor,ts_code,close
20120104,48.7872,1.54,600600.SH,31.68
20120105,47.586,1.54,600600.SH,30.9
20120106,47.6014,1.54,600600.SH,30.91
20120109,48.633199999999995,1.54,600600.SH,31.58
20120110,49.9422,1.54,600600.SH,32.43
20120111,49.8806,1.54,600600.SH,32.39
20120112,49.203,1.54,600600.SH,31.95
20120113,48.6948,1.54,600600.SH,31.62
20120116,47.6322,1.54,600600.SH,30.93
20120117,49.3262,1.54,600600.SH,32.03
20120118,48.664,1.54,600600.SH,31.6
20120119,49.4032,1.54,600600.SH,32.08
20120120,49.58800000000001,1.54,600600.SH,32.2
20120130,49.86520000000001,1.54,600600.SH,32.38
20120131,48.818,1.54,600600.SH,31.7
20120201,48.3868,1.54,600600.SH,31.42
20120202,48.7256,1.54,600600.SH,31.64
20120203,49.0952,1.54,600600.SH,31.88
20120206,48.771800000000006,1.54,600600.SH,31.67
20120207,48.0326,1.54,600600.SH,31.19
20120208,48.4484,1.54,600600.SH,31.46
20120209,48.6486,1.54,600600.SH,31.59
20120210,48.4484,1.54,600600.SH,31.46
20120213,49.711200000000005,1.54,600600.SH,32.28
20120214,49.372400000000006,1.54,600600.SH,32.06
20120215,49.418600000000005,1.54,600600.SH,32.09
20120216,51.0356,1.54,600600.SH,33.14
20120217,51.513000000000005,1.54,600600.SH,33.45
20120220,50.6198,1.54,600600.SH,32.87
20120221,50.8816,1.54,600600.SH,33.04
20120222,51.0818,1.54,600600.SH,33.17
20120223,51.0818,1.54,600600.SH,33.17
20120224,51.051,1.54,600600.SH,33.15
20120227,52.267599999999995,1.54,600600.SH,33.94
20120228,52.452400000000004,1.54,600600.SH,34.06
20120229,52.205999999999996,1.54,600600.SH,33.9
20120301,52.0366,1.54,600600.SH,33.79
20120302,52.668000000000006,1.54,600600.SH,34.2
20120305,52.36,1.54,600600.SH,34.0
20120306,51.7748,1.54,600600.SH,33.62
20120307,51.0356,1.54,600600.SH,33.14
20120308,51.436,1.54,600600.SH,33.4
20120309,52.3138,1.54,600600.SH,33.97
20120312,52.390800000000006,1.54,600600.SH,34.02
20120313,53.515,1.54,600600.SH,34.75
20120314,52.406200000000005,1.54,600600.SH,34.03
20120315,52.4216,1.54,600600.SH,34.04
20120316,54.4698,1.54,600600.SH,35.37
20120319,54.084799999999994,1.54,600600.SH,35.12
20120320,53.8384,1.54,600600.SH,34.96
20120321,53.884600000000006,1.54,600600.SH,34.99
20120322,52.34460000000001,1.54,600600.SH,33.99
20120323,52.0212,1.54,600600.SH,33.78
20120326,52.2522,1.54,600600.SH,33.93
20120327,52.4832,1.54,600600.SH,34.08
20120328,50.635200000000005,1.54,600600.SH,32.88
20120329,50.927800000000005,1.54,600600.SH,33.07
20120330,50.1578,1.54,600600.SH,32.57
20120405,51.40520000000001,1.54,600600.SH,33.38
20120406,51.3128,1.54,600600.SH,33.32
20120409,51.72860000000001,1.54,600600.SH,33.59
20120410,52.6988,1.54,600600.SH,34.22
20120411,52.668000000000006,1.54,600600.SH,34.2
20120412,53.422599999999996,1.54,600600.SH,34.69
20120413,52.9606,1.54,600600.SH,34.39
20120416,53.422599999999996,1.54,600600.SH,34.69
20120417,53.053000000000004,1.54,600600.SH,34.45
20120418,53.268600000000006,1.54,600600.SH,34.59
20120419,52.452400000000004,1.54,600600.SH,34.06
20120420,52.9914,1.54,600600.SH,34.41
20120423,52.36,1.54,600600.SH,34.0
20120424,52.390800000000006,1.54,600600.SH,34.02
20120425,52.4216,1.54,600600.SH,34.04
20120426,52.205999999999996,1.54,600600.SH,33.9
20120427,53.54580000000001,1.54,600600.SH,34.77
20120502,54.300399999999996,1.54,600600.SH,35.26
20120503,53.9924,1.54,600600.SH,35.06
20120504,55.424600000000005,1.54,600600.SH,35.99
20120507,55.5016,1.54,600600.SH,36.04
20120508,55.6094,1.54,600600.SH,36.11
20120509,55.1166,1.54,600600.SH,35.79
20120510,56.5642,1.54,600600.SH,36.73
20120511,55.9328,1.54,600600.SH,36.32
20120514,55.424600000000005,1.54,600600.SH,35.99
20120515,57.3034,1.54,600600.SH,37.21
20120516,56.749,1.54,600600.SH,36.85
